stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,26.36,1106.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,42.91,692.65,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,12.26,6.13,0,0,0,0,0,0,0
  7-9,2.63,7.89,10.51,0,2.63,2.63,0,0,0,7.89,0,0,0,170.87,13.14,0,0,52.57,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,6.29,0,3.15,12.59,0,0,0,3.15,0,0,0,204.55,12.59,0,0,66.09,0,3.15,0,9.44,0,0,0,0
 14-21,0,0,1,1,0,1,0,0,0,0,0,7,1,36,0,0,1,0,0,0,9,0,3,7,0,0
 24-34,0,0,0,0.82,0,4.1,0,0,0,0,0,2.46,0.82,35.3,0,0.82,0.82,0,3.28,0,0,0,0,7.39,0,0.82
 36-46,0,0,0,0,0,6.45,0,0.81,0,0,0,1.61,0.81,20.95,0,0,0,0,0,0,0,0,0,4.83,0,0.81
 48-58,0,0,0,0.57,0,6.31,0,1.72,0,0,0,2.87,0.57,6.89,0,0,0,0,0.57,0,0,0,0,3.44,0,0
 60-70,0,0,0,0.98,0,4.91,0,1.96,0,0,0,0.98,0,7.85,0,0,0,0,0.98,0,0,0,0,0.98,0.98,0
 72-82,0,0,0,1.96,0,3.93,0.98,0.98,0.98,0,0,5.89,0,8.83,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,2.12,0,0,0,2.12,1.06,8.5,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,4.37,0,2.19,1.09,0,0,5.46,0,1.09,0,0,0,0,2.19,0,0,0,0,0,0,1.09
108-118,0,0,0,1.53,0,0.77,0,0.77,0.77,0,0.77,0,0,3.83,0,0.77,0,0,0,0,0,0,0,0.77,0,0.77
120,1.96,0,0,0,0,1.96,0,1.96,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0
