stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,2.42,0,0,0,1.61,0,0,0,0,0,1.61,0.81,0,0,3.22,0.81,0,0,0
 48-58,0,0.57,0,0,0,0,0,0.57,1.72,0,0,2.3,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0
 60-70,0,2.94,0,0,0,0,0,1.96,0,0,0,6.87,0,0.98,0,0,0,1.96,1.96,0,3.93,0.98,0,0,0,0
 72-82,0.98,2.94,0,0,1.96,0,0.98,8.83,0.98,0,0,10.8,0,2.94,0,0,0,10.8,0,0.98,0,0,0,0,0,0
 84-94,0,2.12,0,0,0,0,0,27.61,0,1.06,0,10.62,0,3.19,0,0,0,3.19,1.06,0,2.12,2.12,0,0,0,0
 96-106,2.19,5.46,1.09,0,5.46,0,2.19,60.11,0,3.28,2.19,16.39,1.09,5.46,1.09,0,1.09,16.39,0,0,1.09,2.19,0,1.09,1.09,1.09
108-118,0.77,2.3,0,1.53,2.3,1.53,0,58.21,0,0.77,0,5.36,0,3.06,0.77,0,0,5.36,0.77,0,3.06,1.53,0,0,0.77,0
120,0,0,0,0,0,0,0,37.24,0,0,0,3.92,0,0,1.96,1.96,0,3.92,0,0,0,0,0,0,1.96,0
