stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,1,2,0,0,0,3,0
 24-34,0,0,0,0,1.64,1.64,1.64,0,0.82,0,0,0.82,0,1.64,0,2.46,0,0,8.21,14.78,0,0,0,103.43,1.64,3.28,9.03,1.64,0,0,13.95,0
 36-46,0,0.81,0,0,0,7.25,3.22,0.81,0,1.61,0,0,0,0,0,2.42,0,0,4.83,14.5,0,0,0,62.04,0,1.61,0.81,3.22,0,0,12.89,0
 48-58,0,3.44,0,0,3.44,8.61,2.3,1.15,0.57,0,0,0,0,1.72,0.57,4.59,0.57,0.57,5.74,13.2,0,0,0,38.44,0,2.87,0,1.15,0,0,6.89,0
 60-70,0,4.91,0,0.98,1.96,5.89,2.94,1.96,0,0,0,0,0,0.98,0,4.91,0,0,2.94,8.83,0,0,0,20.61,0,1.96,0,0.98,0,0,5.89,0
 72-82,1.96,2.94,0,38.28,7.85,8.83,1.96,0.98,0,0,1.96,0,0,4.91,0,4.91,0.98,0,2.94,17.67,0,0.98,0,18.65,0,0.98,0,0.98,0,0.98,11.78,0.98
 84-94,0,7.43,0,48.85,3.19,12.74,5.31,1.06,1.06,0,1.06,1.06,0,3.19,0,2.12,1.06,1.06,2.12,13.81,0,0,0,39.3,0,0,0,0,0,2.12,8.5,1.06
 96-106,2.19,4.37,1.09,80.87,7.65,14.21,5.46,1.09,1.09,0,0,0,0,3.28,0,5.46,0,0,2.19,19.67,1.09,0,0,33.88,0,1.09,0,0,1.09,0,21.86,1.09
108-118,0.77,5.36,0,114.89,3.06,10.72,9.19,0.77,0.77,0,0,0,0.77,3.06,0,3.06,0,0,6.89,6.13,1.53,0,0.77,26.81,1.53,0.77,0,0,0,1.53,9.19,1.53
120,0,7.84,1.96,37.24,3.92,19.6,3.92,0,3.92,0,0,0,0,1.96,0,3.92,0,0,3.92,7.84,0,0,0,17.64,0,1.96,0,0,0,0,9.8,1.96
