stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,12,51,15,0,0,0,6,1,0,0,0,0,0,0,0,0,13,0,0,5,184,3,1,13,7,0,2,1,10,1,16,55,0,1,0,1
 24-34,0,0.82,7.39,114.92,59.1,0,0,0,4.1,0,0,0.82,0,8.21,0,0,0.82,0,40.22,0.82,0,9.85,604.97,0.82,2.46,30.37,0,0,0.82,0,0,0,5.75,125.59,0,5.75,0,0.82
 36-46,0,0,1.61,19.34,103.93,0,0.81,0.81,11.28,0.81,0,0,0,7.25,0,0,0.81,0,24.17,1.61,0,5.64,432.64,0,1.61,28.2,0,0,0.81,0,0,0,0,78.15,0,1.61,0,0
 48-58,0,0,2.87,51.64,177.88,0.57,0.57,0,28.12,0,0,0,0.57,9.18,0,0.57,0,0,36.15,2.3,0,6.89,453.31,0.57,1.15,27.54,0,0,0.57,0,0,0.57,0,83.78,0,3.44,0,0.57
 60-70,0,0,1.96,53.98,125.63,0,0,0.98,13.74,0,0,0,1.96,13.74,0,0.98,0,0,23.56,0,0.98,2.94,239.49,0,0,29.45,0,0.98,0.98,0,0,0.98,0,31.41,0,6.87,0,0
 72-82,0,0,1.96,101.11,110.93,0,0,0.98,16.69,1.96,0.98,0,8.83,32.39,0,0,0,0,45.16,0.98,0,13.74,276.83,0,0,47.12,0,0.98,0.98,0,0,0,0,27.49,0,18.65,0,0
 84-94,1.06,0,6.37,83.9,60.54,0,1.06,2.12,10.62,0,0,1.06,3.19,43.54,0,0,1.06,0,21.24,1.06,0,5.31,120.01,0,2.12,49.92,0,0,3.19,0,0,0,0,12.74,0,12.74,0,0
 96-106,0,0,10.93,107.1,29.51,1.09,0,2.19,3.28,1.09,0,0,6.56,69.94,0,0,0,1.09,19.67,3.28,1.09,4.37,59.01,0,3.28,73.22,0,0,3.28,0,0,0,0,2.19,1.09,26.23,1.09,0
108-118,0,0,6.13,73.53,29.11,1.53,0.77,1.53,8.43,0,0,0,5.36,35.23,0.77,0.77,0.77,0,19.92,1.53,0,1.53,76.6,0.77,3.06,58.21,0,0,1.53,0,0,0,0,2.3,1.53,20.68,0,0.77
120,0,0,7.84,97.99,29.4,1.96,0,0,7.84,0,0,0,3.92,27.44,0,0,0,0,13.72,0,1.96,0,50.95,0,1.96,47.03,0,0,0,0,0,0,0,1.96,0,21.56,0,0
