stage,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,2,8,0,0,0
 24-34,1.64,0,0.82,0,1.64,0,0,0.82,0.82,0,0,0,5.75,0,0,0,0,0,0,45.15,0,1.64,0,0,0,5.75,16.42,0,0,0
 36-46,0,0.81,2.42,0,0.81,0,0,4.83,0,0,0,0,1.61,0,0,1.61,1.61,0,0,127.3,0,0,1.61,0,0,4.03,11.28,0,0,0
 48-58,0,0,2.87,0,5.16,0,0.57,1.72,0,1.72,0,0,2.87,0,0.57,1.15,2.3,0,0.57,114.19,1.15,0,0,0,0,5.16,10.33,0,0,0.57
 60-70,0,0,0,0,35.33,0,0,15.7,0,0.98,0,0,1.96,0,0,2.94,0.98,0,0,176.67,1.96,0,0,0,0,5.89,11.78,0,0,0
 72-82,2.94,0.98,0,0,70.68,0,0,59.88,1.96,2.94,0.98,0.98,2.94,0,0.98,7.85,0,0.98,0.98,162.96,0.98,0.98,0.98,0,0,23.56,7.85,0.98,0,0
 84-94,0,0,4.25,0,46.73,1.06,1.06,23.36,2.12,2.12,0,0,6.37,1.06,1.06,3.19,0,1.06,0,64.78,0,0,1.06,0,1.06,37.17,3.19,0,0,0
 96-106,1.09,2.19,1.09,0,31.69,0,0,29.51,5.46,1.09,0,0,4.37,2.19,0,4.37,3.28,0,0,66.66,1.09,0,4.37,0,1.09,37.16,1.09,2.19,1.09,1.09
108-118,0.77,3.83,8.43,0.77,19.92,1.53,0,19.92,3.06,0,1.53,0,4.6,1.53,0.77,4.6,3.06,0,0,68.17,1.53,0,0.77,0,0,32.17,0.77,1.53,0,0
120,0,0,0,0,9.8,0,0,9.8,15.68,0,0,0,5.88,0,3.92,1.96,1.96,0,0,82.31,1.96,0,1.96,0,0,21.56,0,0,0,0
