stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,6,0,31,11,0,0,0,0,2,2,2,1,0,0,0,0
 24-34,0,0,0.82,3.28,0,1.64,0,0.82,0,0,0.82,0,32.83,0,67.31,14.78,0,0,0.82,1.64,1.64,0,0,1.64,0,0,0,0
 36-46,0,0,0.81,1.61,0.81,5.64,0.81,0,0,0,0,0,64.45,0,33.03,29.81,0,0,0,0,0,0,2.42,4.83,0,0,0,0
 48-58,0,0,0.57,2.3,0,15.49,2.3,0,0,0,0,0,37.3,0,20.66,24.1,0,0,0,0,0,0,0,6.31,0,0,0,0
 60-70,0,0,0,5.89,0,16.69,2.94,0,0,0,0,0,54.97,0,17.67,21.59,0,0.98,0.98,0,0,0,0,3.93,0,0,0.98,0
 72-82,0,0,0,6.87,0,23.56,2.94,0,0,0,0,0,60.86,0,14.72,31.41,0,0,0.98,0,0,0,0,3.93,0,0.98,0.98,0
 84-94,0,0,2.12,9.56,0,21.24,0,0,0,0,0,1.06,43.54,2.12,14.87,11.68,0,0,0,3.19,0,0,0,0,0,0,4.25,0
 96-106,0,0,1.09,13.11,1.09,27.32,2.19,0,0,0,0,1.09,66.66,1.09,12.02,19.67,1.09,0,1.09,0,0,0,0,1.09,1.09,0,13.11,0
108-118,0,0,0.77,6.13,0,25.28,2.3,0,0,0.77,0.77,0.77,66.64,3.06,10.72,16.85,0.77,0,0.77,0,0,1.53,0,0.77,0,0.77,5.36,0.77
120,0,0,0,3.92,0,35.28,0,0,0,0,0,0,56.83,1.96,15.68,19.6,0,0,0,0,0,0,0,0,0,0,7.84,0
