stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature
  3-4,0,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0,0,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0.81,0,0,0,0,0,5.64,0,0
 48-58,0,0,0,0,10.33,0,0,0,0,0,0,0,0,0,0,0,0.57,22.95,0,0.57,0,0,0,0,0,16.07,0,0
 60-70,0,0,0.98,0,79.5,0,0,0.98,0.98,0,0.98,0.98,0,0.98,0,0,0,86.37,0,1.96,0,0,0.98,0,0,17.67,0,0
 72-82,0,0,2.94,0.98,201.24,0.98,0,0,10.8,0.98,0,0,0,11.78,0,0.98,0,212.04,0,1.96,0,0,0,0,0,35.34,0,0.98
 84-94,0,0,3.19,2.12,135.94,0,0,0,12.74,0,0,0,0,3.19,0,0,0,132.75,0,2.12,0,0,1.06,0,0,18.05,0,0
 96-106,0,0,2.19,3.28,221.85,0,0,0,19.67,0,0,1.09,2.19,13.11,1.09,1.09,1.09,194.53,0,4.37,2.19,0,4.37,1.09,0,9.84,0,0
108-118,0,0,4.6,0,229.02,0,0.77,0.77,22.98,0,0.77,0,0,6.89,0,0,0.77,278.04,0,1.53,0.77,0.77,1.53,0,0.77,10.72,0.77,0
120,0,0,5.88,0,190.1,0,0,0,21.56,0,0,0,0,15.68,0,1.96,0,327.28,1.96,1.96,0,0,0,0,0,11.76,0,3.92
