stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,79.07,1660.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,42.91,576.19,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,18.39,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,5.26,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,136.69,5.26,0,0,52.57,2.63,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,232.88,0,0,0,47.2,3.15,3.15,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,23,2,0,1,0,0,0,3,1,0,0,0,1,0,0,4,0,0,2,83,3,1,0,2,3,0,12,0,2,24,0,0,0,0
 24-34,0,0,0,5.75,0.82,0,12.31,0,0,0.82,0.82,0,0,0,0,0,0,0.82,11.49,0,0,4.93,96.04,0,1.64,1.64,0,3.28,0,0,0.82,0.82,21.34,0,0,2.46,1.64
 36-46,0,0,0,0.81,0,0,35.45,0,0,0,2.42,0,0,0,0.81,0,0,0,12.09,0,1.61,4.03,62.84,0,0.81,0.81,0,0.81,0,0,0,0,16.92,0,0,0.81,0.81
 48-58,0,0,0,1.15,0,0,48.2,0,0.57,0,4.02,0,0,0.57,0,0,0.57,0,11.48,0.57,1.15,1.72,36.72,0,0,0,0,0.57,0,0,0,0,2.3,0,0,0.57,0
 60-70,0,0,0,2.94,0,0,22.58,0,0,0,1.96,0.98,0,0.98,0,0,0,0.98,6.87,0,0,3.93,8.83,0,0,0,0,2.94,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,1.96,0,0,17.67,0,0,0,10.8,0,0.98,0,0.98,0,0,0.98,9.82,0,0,1.96,19.63,0,0,0.98,0,0,0,0,0,0,1.96,0,0,1.96,1.96
 84-94,0,0,0,6.37,1.06,0,20.18,0,0,1.06,6.37,2.12,0,1.06,1.06,1.06,0,1.06,13.81,0,4.25,5.31,14.87,0,0,0,0,4.25,0,0,0,0,1.06,1.06,0,1.06,0
 96-106,0,0,0,3.28,0,0,12.02,1.09,0,0,1.09,1.09,0,1.09,2.19,1.09,0,0,12.02,0,1.09,1.09,12.02,0,0,0,0,2.19,0,0,0,0,0,0,1.09,2.19,1.09
108-118,0,0,0,2.3,0,0.77,8.43,0,0,0,4.6,1.53,0,0,0.77,0,0,0,6.13,0,0,0.77,22.21,0,1.53,0.77,0,1.53,0,0,0.77,0,0.77,0,0,1.53,0
120,0,0,0,3.92,0,0,3.92,0,1.96,0,1.96,0,0,0,1.96,0,0,0,7.84,0,0,3.92,5.88,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
