stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,9,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,6,24,0,0,0,1,0,2,4,0,0,0,6,0,0,0,0,0
 24-34,0.82,0,5.75,0,0,3.28,0,0.82,0,4.1,0,0,0,0,0.82,0,0,0,0,10.67,0,0,4.93,36.12,1.64,0,1.64,0,0,4.1,0,0,0,2.46,8.21,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,6.45,0,0.81,0,0.81,0,0,0,0,0,0,0.81,0,0,5.64,0,0,1.61,29,0,1.61,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0
 48-58,0,0,2.3,0,0,10.33,0.57,0,0,3.44,0.57,0,0,0,0,0,0,0,0.57,5.74,0,0.57,1.15,21.23,0.57,0.57,0.57,0,0,0.57,0,0.57,0,0,4.59,0,0,0,0,0
 60-70,0,0,3.93,0,0,17.67,0,0,0,5.89,0.98,0,0.98,0,0,0,0.98,0,0,8.83,0,0,2.94,23.56,0.98,0,0,0,0,1.96,0,0,0.98,0,3.93,0,0,0,0,0
 72-82,0,0,2.94,0.98,0,5.89,0,0.98,0,4.91,0.98,0,0,1.96,0,0,1.96,0,0,15.71,0,0,0,16.69,0,0.98,0,0,0.98,2.94,0,0,0,0,0.98,1.96,0,3.93,1.96,1.96
 84-94,0,0,0,1.06,0,4.25,0,1.06,0,3.19,0,1.06,0,2.12,0,0,2.12,0,0,15.93,1.06,1.06,0,7.43,0,1.06,0,0,0,4.25,0,0,0,0,1.06,0,0,1.06,0,1.06
 96-106,1.09,0,3.28,0,0,8.74,0,0,1.09,8.74,1.09,0,0,1.09,2.19,1.09,0,0,0,14.21,0,0,0,10.93,0,0,1.09,0,1.09,4.37,0,0,0,0,0,1.09,1.09,0,1.09,0
108-118,0.77,0.77,4.6,1.53,1.53,5.36,0,0,0,1.53,3.06,0,0,3.06,0.77,0,0.77,0,0,5.36,0,0.77,0.77,9.96,1.53,0,0,0,0,3.06,0,0,0,0,0.77,0,0,1.53,0,0
120,0,0,0,1.96,0,7.84,0,1.96,0,7.84,0,0,0,0,0,0,0,1.96,0,7.84,0,0,0,5.88,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
