stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,1,0,27,11,2,0,1,0,0
 24-34,0,0.82,0,0,0.82,27.91,0,0,1.64,0,0.82,0,0,0,0,0,1.64,0,0,8.21,22.98,0.82,0,0,0,0,1.64,0,0,32.83,31.19,6.57,0,0.82,0,0
 36-46,0,0,0,0,6.45,145.02,0,0,0.81,0,0,0.81,0.81,0,0,0,2.42,0,0.81,4.83,30.62,0.81,0,0.81,0.81,0,0.81,0,0.81,45.12,0,4.03,0,0.81,0,0
 48-58,0,1.15,0,0,22.95,179.6,0.57,0.57,3.44,0,0,1.15,0,0,0,0,14.35,0,0,8.03,78.61,0,1.72,0,0,0,1.72,0,0,45.33,0,16.07,0,2.87,0,2.87
 60-70,0,0.98,0,0,14.72,81.47,0,0,4.91,0,0,0,0,0,0,0,12.76,0,0,4.91,33.37,0,0.98,0,0,0,2.94,0,0,25.52,0,1.96,0,0,0,1.96
 72-82,0,1.96,0,0,11.78,58.9,0,0,2.94,0,0,0,0,0,0.98,0,10.8,0,0,2.94,29.45,0,0,0,0,0,0,0,0,9.82,0,1.96,0.98,0,0.98,0.98
 84-94,1.06,3.19,3.19,0,27.61,169.93,0,0,4.25,1.06,0,0,0,1.06,1.06,0,13.81,0,0,9.56,24.43,0,0,0,0,0,11.68,0,0,39.3,0,1.06,0,2.12,0,0
 96-106,0,3.28,2.19,0,18.58,186.88,1.09,0,3.28,1.09,1.09,1.09,0,0,1.09,1.09,9.84,1.09,3.28,14.21,31.69,0,1.09,2.19,0,1.09,9.84,0,0,39.34,0,0,2.19,0,2.19,1.09
108-118,0,3.06,0.77,0.77,10.72,126.38,0,0.77,4.6,0,1.53,0.77,0,0,0,0.77,4.6,0,0,8.43,13.02,0,0,0,0,0,2.3,0,0,37.53,0,1.53,0,0.77,0,0.77
120,0,1.96,0,0,3.92,15.68,1.96,0,1.96,0,0,0,1.96,0,0,0,3.92,0,0,1.96,3.92,0,0,3.92,0,0,1.96,0,0,3.92,0,0,0,0,0,0
