stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,1,0,4,0,0,1,0,0
 24-34,0,0.82,4.1,0,0,0,1.64,0,0,0,1.64,0,0,0,0,25.45,0.82,0,0.82,2.46,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,4.83,0,0,0,0,0,0,0,4.83,0,0,0,0,0
 48-58,0,1.15,0,0,0,0,0,0,0,1.15,0,0,0,0,0,26.4,0.57,0,0,2.3,0,0,0,0,0,0,0,1.72,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0.98,0,0,0.98,1.96,0,0,0,0,57.91,0,0,0,3.93,0,0,0,0,0,0,0,3.93,0,0,0,0,0
 72-82,0,4.91,0,0.98,0.98,0.98,10.8,0,1.96,6.87,2.94,0,0.98,0,0,142.34,4.91,0.98,0.98,22.58,0,0,0,0,0.98,0,0.98,0.98,0,0,0,0,0.98
 84-94,0,1.06,0,1.06,0,2.12,9.56,0,0,5.31,2.12,0,0,0,0,491.72,8.5,0,1.06,35.05,0,1.06,0,0,4.25,0,0,2.12,1.06,0,1.06,0,0
 96-106,0,4.37,0,9.84,6.56,7.65,26.23,1.09,0,6.56,5.46,1.09,2.19,0,1.09,758.44,26.23,1.09,0,145.35,1.09,2.19,1.09,0,12.02,0,1.09,0,2.19,0,8.74,0,3.28
108-118,0,3.83,0.77,6.89,3.83,5.36,20.68,0.77,0,5.36,3.83,0.77,2.3,0.77,0.77,1462.22,24.51,0.77,2.3,121.02,0,0,3.83,0,8.43,0,0.77,0.77,0.77,0.77,1.53,2.3,0.77
120,0,1.96,0,5.88,1.96,0,7.84,0,0,3.92,3.92,0,1.96,0,1.96,729.04,17.64,0,3.92,62.71,3.92,0,0,0,9.8,0,0,7.84,0,1.96,0,0,0
