stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,1,0,0,1,0,3,0,0,0,0,0
 24-34,0,0.82,2.46,0.82,0,4.93,0,0,0,0,0,0.82,0.82,0,0,0,0,0,1.64,0,0,0,22.16,0,0,0,11.49,0,9.03,0,0,0,0,0
 36-46,0,0,0.81,0.81,0,5.64,0,0,0,3.22,0,0,0,0,0.81,0,0,0,1.61,0,0,0.81,25.78,0,0,0,7.25,0,6.45,0,0,0,0,1.61
 48-58,0,0,0,1.15,0,18.36,0,0,1.72,3.44,0.57,0.57,0,0,0,0,0,0,4.02,0,0,0.57,20.08,1.15,0.57,0,9.18,0,5.16,0,0,0,0,0.57
 60-70,0,0,7.85,5.89,0,112.88,0,0,0,7.85,0,1.96,2.94,0.98,2.94,0,0,0,12.76,1.96,1.96,0.98,22.58,0,0.98,0.98,8.83,0.98,9.82,0.98,0,0,0.98,0.98
 72-82,1.96,0,0.98,10.8,0,128.6,0,0,0,9.82,1.96,0.98,2.94,0,1.96,0,1.96,0,20.61,0,1.96,2.94,41.23,0.98,0,0.98,7.85,0.98,3.93,1.96,0.98,1.96,0,0
 84-94,0,0,5.31,15.93,1.06,91.34,0,1.06,0,6.37,11.68,1.06,2.12,1.06,6.37,4.25,0,0,14.87,1.06,0,1.06,28.68,2.12,3.19,1.06,21.24,7.43,0,2.12,1.06,0,3.19,2.12
 96-106,2.19,0,6.56,17.49,0,64.48,0,0,0,14.21,15.3,0,1.09,1.09,7.65,1.09,2.19,0,25.14,0,0,0,36.06,3.28,4.37,2.19,28.41,6.56,1.09,2.19,0,2.19,0,0
108-118,0,0,12.26,13.02,7.66,71.23,0,0.77,1.53,9.19,18.38,0,0.77,0.77,9.96,4.6,0.77,0.77,22.98,0.77,2.3,0,32.17,0,1.53,0,19.92,6.13,2.3,6.89,0,2.3,0.77,1.53
120,0,0,11.76,31.36,3.92,90.15,1.96,1.96,0,7.84,33.32,0,1.96,3.92,3.92,3.92,1.96,0,21.56,1.96,1.96,0,45.08,1.96,3.92,0,23.52,3.92,5.88,3.92,0,1.96,1.96,0
