stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,28.92,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,22.03,0,9.44,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,301,1,0,1,0,0,0,0,0
 24-34,0,0,1.64,0,0,3.28,0,0.82,0,0,0,0,0.82,0,1.64,0,0,0,0,1.64,2.46,3.28,16.42,0,0,0,0,0,459.68,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,3.22,0.81,0,10.47,0,0,0,0,0,364.16,0,0,2.42,0,0,0,0,0.81
 48-58,0,0,4.59,0,0,7.46,0,1.72,0,1.15,0.57,0,0,0,0.57,0,0,0,1.15,2.3,5.74,0,13.77,0,0,0,0,0,428.06,0,0,6.31,0,0,0,0,0.57
 60-70,0,0,14.72,0,0,6.87,0,4.91,0,0.98,0,0,0,0,0,0,0,0,0,0.98,4.91,0,17.67,0,0,0,0,0,332.74,0,0,4.91,0,0,0,0,0
 72-82,0,0,54.97,0,0,10.8,0,7.85,0.98,1.96,2.94,0,0,0,1.96,0.98,0,0.98,0,1.96,2.94,0.98,17.67,0,0,1.96,0,0,492.79,0,0,0,1.96,0,0,0,0
 84-94,0,0,104.08,1.06,0,3.19,0,20.18,0,1.06,5.31,0,0,0,20.18,0,0,0,1.06,2.12,13.81,1.06,2.12,0,0,0,0,0,1356.22,0,0,0,8.5,0,0,0,0
 96-106,0,1.09,180.32,2.19,0,14.21,1.09,31.69,1.09,3.28,10.93,0,1.09,0,28.41,0,2.19,1.09,0,4.37,25.14,1.09,31.69,1.09,2.19,1.09,0,1.09,1713.58,0,0,1.09,10.93,0,2.19,0,1.09
108-118,0,0,166.98,1.53,0,6.89,0,36.77,0.77,3.06,7.66,0,0.77,0.77,33.7,0,0,0.77,0,5.36,21.45,0.77,12.26,0,0,0,0,0,1338.9,0,0,0,8.43,0.77,0.77,1.53,0
120,0,0,96.03,0,1.96,0,0,25.48,0,0,3.92,0,0,0,9.8,0,0,0,0,1.96,13.72,1.96,13.72,0,0,1.96,0,0,611.45,0,0,0,3.92,0,0,0,0
