stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,immune,mesenchyme,neural,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,13.14,0,7.89,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0.82
 36-46,0,0,0.81,0,2.42,0,0,0,0,0.81,4.03,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,0,0.57,0,0,4.02,0,0,0,0,1.15,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0.98,0,0.98,0
 72-82,0,0,0,0,0.98,0,0,0,0,0.98,0.98,0,0,0,0,0,0
 84-94,0,1.06,1.06,0,0,0,1.06,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,1.09,0,1.09,1.09
108-118,0,0,1.53,0,0,0.77,0,0,1.53,0.77,1.53,0.77,0,1.53,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,3.92,0,0,7.84,0,0,0
