stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,1,3,9,0,5,0,0,7,2,3,0,0,0,0,1,6,0,15,77,0,5,0,2,0,0,3,2,6,58,48,0,0,0,0,0
 24-34,2.46,0,1.64,0,9.03,0,0,4.93,0.82,1.64,0,0,0,0,0.82,15.6,0,4.93,182.23,0,50.07,0,0,0,0,0,4.93,0,0.82,96.04,0,0,0.82,0,0.82
 36-46,2.42,0,0.81,0,64.45,0,1.61,13.7,0,0,0,0,0.81,0.81,2.42,16.11,0,4.03,315.82,0,50.76,0,0,0,0,0,3.22,0,0,132.94,0,0.81,0,0,0
 48-58,1.15,0,0,0,309.28,1.15,0,16.07,0,0.57,0,0,0,1.15,1.72,7.46,0,1.15,187.63,0,30.41,0,0,0,0.57,0,1.15,0.57,0,76.32,0,0,0,0,0
 60-70,0,0,2.94,0,993.3,0,0,35.33,0,0,0,0,0,0,0.98,9.82,0.98,0.98,195.32,0,36.32,0,0,0,0,0,0.98,0,0,58.89,0,0,0,0.98,0
 72-82,1.96,0,2.94,0.98,1187.81,0,0,45.16,0.98,0,0.98,0,1.96,1.96,0,18.65,0.98,4.91,172.77,0.98,66.75,1.96,0,0.98,0,0,0.98,0,0,31.41,0,0,1.96,1.96,0
 84-94,8.5,0,4.25,1.06,966.45,0,1.06,46.73,1.06,0,0,1.06,0,4.25,0,23.36,2.12,2.12,101.96,1.06,74.34,0,0,0,0,0,6.37,0,0,23.36,0,2.12,0,5.31,0
 96-106,4.37,0,10.93,1.09,742.04,2.19,1.09,56.83,5.46,1.09,1.09,0,1.09,2.19,0,24.04,0,2.19,76.5,1.09,104.91,0,0,0,2.19,0,5.46,1.09,0,17.49,1.09,0,0,2.19,3.28
108-118,1.53,0,3.06,0,454.98,0.77,0,39.83,0,0,1.53,0,1.53,0,0,24.51,1.53,0.77,103.41,0,64.34,0,0,0,0,0,4.6,0,0,9.96,0,0,0.77,0.77,0
120,0,0,5.88,1.96,348.84,0,0,11.76,0,0,0,0,1.96,3.92,0,19.6,1.96,0,78.39,0,45.08,1.96,0,0,0,0,0,0,0,5.88,0,1.96,0,3.92,0
