stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0
 24-34,0,0,1.64,1.64,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,3.28,0.82,0,0,0,0.82,0.82,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0,5.74,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0.57,0,0,0,0.57
 60-70,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0.98,31.41,0,0.98,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,5.89,0,0,0,0,0,0,0,140.38,0,2.94,0.98,0,0,19.63,0,0,0.98,0,1.96,2.94,0,0,0,0.98,0,0.98
 84-94,0,0,0,1.06,0,0,2.12,0,0,2.12,1.06,0,1.06,1.06,463.05,0,6.37,0,2.12,0,23.36,1.06,0,0,0,2.12,3.19,0,0,1.06,0,0,0
 96-106,0,0,0,3.28,5.46,0,12.02,0,0,7.65,2.19,0,3.28,0,705.98,1.09,13.11,1.09,0,1.09,75.41,0,1.09,2.19,0,1.09,4.37,1.09,2.19,0,2.19,1.09,2.19
108-118,0,0,0,3.83,0.77,0,11.49,0,0.77,3.83,2.3,0,0,0,1357.29,0,7.66,0.77,0,1.53,67.4,0,0,0,0.77,3.83,6.13,0,0,0,2.3,0,0
120,0,0,0,3.92,1.96,0,13.72,1.96,1.96,1.96,0,0,0,0,678.09,0,9.8,0,1.96,0,35.28,1.96,0,3.92,0,3.92,5.88,0,1.96,0,0,0,0
