stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,747.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.96,0,0,110.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,194.52,0,270.76,0,0,81.49,0,0,0,0,26.29,0,0,0,0,3651.28,189.27,0,5856.77,0,5.26,15.77,0,7.89,0,0,0,0,0,0
 10-12,3.15,182.52,0,487.78,0,3.15,59.79,0,0,0,0,12.59,0,0,0,0,3206.76,129.03,0,5582.72,0,12.59,31.47,12.59,409.11,0,37.76,6.29,0,0,0
 14-21,0,0,0,0,21,8,0,0,3,0,0,0,0,8,0,2,24,13,0,258,0,2,0,696,1,9,132,54,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,2.46,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,3.28,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,2.42,0,1.61,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,5.74,0,0,0.57,0,0,1.15,0,0.57,0,0,0.57,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.96,0,0,0,21.59,0,0.98,0.98,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,1.96,0.98,0,0,2.94,0,0,0.98,39.27,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,2.12,1.06,2.12,3.19,0,0,0,86.03,0,1.06,0,0,1.06,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,5.46,3.28,0,0,0,0,1.09,68.85,0,1.09,1.09,0,0,17.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0,2.3,0.77,0,0.77,83.49,0,2.3,0,0.77,0,9.19,0,0,0,0.77,0.77,0,0,0,0,0,0.77,0.77,0,0.77
120,0,0,0,1.96,1.96,0,3.92,0,0,0,64.67,0,0,0,0,0,7.84,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
