stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,26.29,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,4,0,0,0
 24-34,0,0,0,0,4.1,0,0.82,0,8.21,0,0.82,0,0,0,13.13,0,0,19.7,0,0.82,0,0,0,0,5.75,0,1.64,0
 36-46,0,0,0,0,6.45,0,0,0,1.61,0,1.61,0,0,0,20.14,0,0,14.5,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,9.75,0.57,1.15,0.57,0,0,1.72,0,0,1.72,23.53,0,0.57,5.74,0,0,0,1.15,0,0,1.72,0,0,0
 60-70,0,0,0,0,4.91,0,0,1.96,0,0,0.98,0,0,0,10.8,0,0,5.89,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,4.91,0.98,0.98,14.72,0.98,0,0.98,0,0,2.94,28.47,0,0.98,6.87,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,1.06,1.06,39.3,1.06,1.06,1.06,0,0,2.12,22.3,0,0,4.25,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,2.19,0,1.09,62.29,0,2.19,2.19,1.09,0,0,18.58,0,1.09,2.19,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0,3.06,0,0.77,59.75,0,0,0,0,0.77,3.06,9.96,0.77,0,5.36,0,0.77,0,0,0,0,0,0.77,0,0
120,0,0,3.92,0,1.96,0,0,33.32,0,0,0,0,0,1.96,7.84,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0
