stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,6.29,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,3,6,392,26,0,51,0,8,0,1,12,1,5,0,1,0,0,0,0,17,1,0,4,154,1,2,5,2,0,4,0,1,4,0,3,22,0,0,11,0,0
 24-34,0,2.46,6.57,161.71,1.64,0,17.24,0,8.21,0,1.64,11.49,0,15.6,0,0.82,0,2.46,5.75,0,64.03,2.46,0,16.42,160.07,2.46,9.03,24.63,0,0,77.98,0,0,7.39,0,2.46,20.52,0,0,74.7,0,0
 36-46,0,1.61,0.81,62.04,0,0,20.95,0,16.92,0.81,8.86,8.06,0,11.28,0,0,0,0,11.28,0,103.13,0.81,1.61,16.92,186.92,3.22,4.03,17.72,0,0.81,85.4,0,0,5.64,0,0,12.89,0,0,65.26,0,0
 48-58,0,0,0,25.25,0.57,0,29.26,0,3.44,0.57,30.99,4.02,1.15,18.94,0,1.72,0,0.57,9.75,0,64.27,0.57,0.57,14.35,97.55,0,6.31,10.33,0,0.57,113.61,0,0,3.44,0,0,10.33,0,0,44.76,0,0.57
 60-70,0,0,0,13.74,0,0,71.65,0,17.67,2.94,51.04,5.89,0,16.69,0.98,3.93,0,0,5.89,0,70.67,2.94,1.96,7.85,61.84,1.96,3.93,6.87,0,1.96,145.27,0,0,4.91,1.96,0,16.69,0.98,0,37.3,0.98,0
 72-82,0,0.98,1.96,10.8,0,0,277.81,0,0,2.94,97.18,11.78,1.96,35.34,0,4.91,0,0.98,12.76,0,84.42,4.91,0,11.78,106.02,0,8.83,12.76,0,0.98,191.42,0,0,4.91,0,0,12.76,0.98,0.98,50.06,0.98,0.98
 84-94,0,1.06,2.12,15.93,1.06,0,208.16,0,11.68,1.06,59.47,12.74,0,10.62,2.12,4.25,0,1.06,21.24,0,61.6,8.5,0,8.5,47.79,0,8.5,6.37,0,0,702.01,0,0,12.74,0,0,7.43,0,0,45.67,0,0
 96-106,0,0,3.28,30.6,3.28,1.09,260.1,3.28,28.41,0,100.54,8.74,0,30.6,0,6.56,0,0,25.14,1.09,53.55,10.93,2.19,8.74,61.2,1.09,15.3,20.76,0,1.09,555.17,0,0,5.46,0,0,5.46,2.19,0,45.9,1.09,3.28
108-118,0,1.53,3.06,16.85,0.77,0.77,196.09,0.77,38.3,2.3,99.58,5.36,0,12.26,2.3,11.49,1.53,2.3,28.34,0.77,58.98,13.79,0,5.36,78.89,0,7.66,15.32,0,0.77,485.62,0,0,8.43,0,0,6.13,1.53,0,37.53,0,6.89
120,0,0,1.96,21.56,0,1.96,133.27,0,7.84,0,64.67,5.88,0,19.6,3.92,1.96,1.96,3.92,11.76,0,23.52,3.92,0,3.92,50.95,0,7.84,17.64,0,1.96,311.61,0,0,1.96,0,0,5.88,0,1.96,19.6,3.92,1.96
