stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,1,0,3,0,1,0,3,8,0,0,0,0,0
 24-34,0,0,0,0.82,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,14.78,0,0,0,0,0,0,0,0.82,0,9.85,0,0,4.93,0,0
 36-46,0,0,0,0,0,4.83,0,0,0.81,0.81,0,0,0,0,0,0,5.64,0,0,1.61,23.36,0.81,0.81,0,0,1.61,0,0,1.61,0,4.03,0,0,6.45,0,0
 48-58,0,0,0,1.15,0,5.74,0,0.57,2.3,0,2.3,0,0,0,0,0,5.16,0.57,0,0.57,19.51,0.57,0,0,0,1.72,0,0,1.72,0,5.16,0,0,14.35,0,0
 60-70,0,0,0.98,0,0,12.76,0.98,0,3.93,0,3.93,0,0,0.98,0,0.98,3.93,0,0,0,22.58,0.98,0.98,0.98,0,0,0,0,2.94,0,2.94,0,0,19.63,0,0
 72-82,0,0,0,0.98,0,7.85,0,0.98,10.8,7.85,2.94,0,0,0,0,0,4.91,0,0.98,0.98,24.54,1.96,0,0.98,0,2.94,0,0,1.96,0,0,0.98,0,44.17,0,0.98
 84-94,0,0,0,2.12,0,3.19,0,0,4.25,1.06,0,1.06,0,0,0,0,2.12,0,0,0,11.68,0,0,2.12,0,5.31,0,0,4.25,0,0,0,0,26.55,0,0
 96-106,0,0,0,3.28,0,3.28,0,0,16.39,1.09,5.46,0,2.19,0,1.09,0,4.37,1.09,1.09,2.19,15.3,0,0,1.09,0,15.3,0,0,3.28,0,4.37,1.09,1.09,61.2,0,0
108-118,0,0,0,3.06,0,5.36,0,3.06,19.15,3.83,0.77,0.77,0.77,0,0.77,0.77,5.36,0,0,0,12.26,0.77,0,0.77,0,5.36,0,0,4.6,0,1.53,0,0,36,0.77,0
120,0,0,0,5.88,1.96,7.84,1.96,1.96,11.76,1.96,3.92,1.96,0,1.96,0,0,0,0,0,1.96,3.92,0,0,0,0,11.76,1.96,0,3.92,0,0,0,0,43.12,0,0
