stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,44.69,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.75,7.89,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,34.62,0,0,28.32,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,132.17,0,0,0,44.06,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,5,36,14,33,0,0,0,14,2,0,0,0,2,0,0,11,0,33,0,0,26,363,5,3,6,12,0,7,41,5,44,138,0,0,6,0,0
 24-34,0,0,0,0.82,30.37,0.82,107.53,0,1.64,1.64,12.31,0.82,0,1.64,0,1.64,0,4.1,3.28,0.82,86.19,0.82,0.82,50.07,653.4,4.1,5.75,1.64,0,0,18.06,0,0,6.57,136.26,0,0,10.67,0,0.82
 36-46,0,0,0,0,13.7,0,113.6,0,0.81,1.61,16.11,0.81,0,0.81,0,0.81,0.81,2.42,1.61,0,68.48,0,4.03,18.53,296.49,3.22,2.42,2.42,0,0,3.22,0,0,0.81,63.65,0,0,4.83,0,0
 48-58,0,0,0,0.57,22.95,1.15,160.09,1.15,2.3,3.44,45.9,0.57,0,1.15,1.15,0,8.61,4.02,0.57,0,94.1,0.57,5.74,21.8,290.35,4.59,3.44,6.89,0,0,7.46,0,0,0,63.12,0,0.57,8.03,0,0.57
 60-70,0,0,0,0,29.45,0,107.97,0,6.87,2.94,44.17,0,0,0.98,0.98,2.94,23.56,2.94,0,0,66.74,0,5.89,7.85,195.32,1.96,3.93,4.91,0,1.96,5.89,0,0,0,22.58,0,0,2.94,0,0
 72-82,0,0,0,0,7.85,0.98,65.77,0.98,1.96,3.93,54.97,0,0,1.96,0.98,0,24.54,4.91,0,0.98,127.62,0,8.83,26.5,235.6,1.96,1.96,2.94,0,2.94,0.98,0,0,0,16.69,0.98,6.87,11.78,0,0.98
 84-94,0,0,0,0,21.24,1.06,57.35,0,2.12,4.25,32.92,1.06,0,1.06,2.12,2.12,30.8,1.06,0,1.06,72.22,1.06,7.43,10.62,88.15,2.12,2.12,6.37,0,1.06,7.43,0,0,0,13.81,0,3.19,7.43,3.19,0
 96-106,0,0,0,0,32.79,4.37,74.31,0,0,8.74,43.71,0,0,1.09,3.28,0,59.01,4.37,2.19,0,87.43,1.09,4.37,13.11,149.72,1.09,4.37,7.65,0,1.09,15.3,0,0,0,7.65,2.19,2.19,8.74,2.19,0
108-118,0,0,0,0,19.92,1.53,38.3,0.77,6.13,3.83,32.17,3.06,0,1.53,1.53,0.77,59.75,2.3,0,0,49.02,0,0.77,11.49,96.51,5.36,1.53,1.53,0,2.3,5.36,0,0,0,2.3,1.53,0,7.66,0.77,1.53
120,0,0,0,0,23.52,1.96,43.12,0,11.76,7.84,43.12,1.96,0,0,5.88,1.96,31.36,5.88,0,0,80.35,1.96,1.96,17.64,119.55,3.92,3.92,3.92,0,0,11.76,0,0,0,3.92,0,0,3.92,0,0
