stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,13.14,0,0,0,2.63,0,0,0,0,57.83,13.14,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,66.09,3.15,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,3,1,0,5,1,0,0,3,0,1,17,2,1,1,2,1,3,4,3,23,0,0
 24-34,0,0,0,0,2.46,0,4.93,0.82,9.03,0.82,0,0,2.46,0,1.64,13.13,0,2.46,0,0,0,0,0.82,0,17.24,0,0.82
 36-46,0,0,0,0,0.81,0,2.42,0,0,0,0,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0,4.03,0,0
 48-58,0,0,0,0,0.57,0,5.74,0,2.3,0,0,0,1.72,0,0,5.16,0,1.72,1.15,0,0,0,1.15,0,4.59,0,0
 60-70,0,0,0,0,0,0,11.78,0,4.91,0,0,0.98,0,0.98,0,15.7,0,2.94,0,0,0,0,0,0,0.98,0.98,0
 72-82,0,0,0,0,0.98,0,4.91,0,3.93,0,0.98,0,3.93,0,0.98,6.87,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,1.06,0,2.12,0,0,0,1.06,0,0,5.31,0,3.19,3.19,0,0,0,1.06,0,1.06,0,1.06
 96-106,0,0,1.09,0,3.28,1.09,3.28,0,1.09,0,0,5.46,1.09,0,1.09,1.09,0,2.19,2.19,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,1.53,0.77,3.06,0,0.77,0,0,0.77,0.77,0,0,4.6,0,0.77,3.83,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0
