stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.3,0,0,0,0,0,0
  5-6,12.26,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612.96,0,0,0,0,0,0
  7-9,0,5.26,5.26,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,99.89,10.51,0,0,49.95,81.49,0,0,0,0,0,0
 10-12,0,6.29,22.03,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,119.58,18.88,0,0,34.62,31.47,0,6.29,0,0,0,0
 14-21,0,0,4,10,0,0,0,0,0,0,0,0,3,0,0,1,0,6,12,4,0,1,1,41,1,0,4,0,0,0
 24-34,0,0,0.82,8.21,0,0,1.64,0.82,0,0.82,0,0,2.46,0,0.82,2.46,0,0.82,22.98,0.82,0,0.82,0,87.01,0,0,3.28,0,0,0
 36-46,0,0,0,4.83,0,0,0.81,0,0,0,0,0,0.81,0,0,2.42,1.61,0,9.67,0,1.61,0,0,65.26,0,0,7.25,0,0,0
 48-58,0,0,0,2.3,0,0,5.16,0,2.87,0,0,0,0,0.57,0,4.59,0.57,0.57,8.61,0,0,0.57,0,64.27,0,0,4.02,0,0.57,0.57
 60-70,0,0,0,6.87,0,0,3.93,1.96,1.96,0,0,0,0.98,0,0,5.89,0,0,7.85,0.98,0,0,0,66.74,0,0,0.98,0.98,0,0
 72-82,0,0,0,14.72,0,0,5.89,0,0.98,0,0,0.98,0,0,0,10.8,3.93,1.96,10.8,0,0,0.98,0,55.95,0,0.98,1.96,1.96,0,0
 84-94,0,0,0,36.11,1.06,0,4.25,1.06,0,0,0,0,8.5,1.06,0,11.68,2.12,1.06,7.43,0,0,1.06,0,183.73,0,0,1.06,2.12,0,0
 96-106,0,0,0,40.44,0,0,1.09,1.09,1.09,2.19,0,0,3.28,1.09,0,5.46,1.09,1.09,8.74,0,0,1.09,0,170.48,0,0,0,3.28,0,0
108-118,0,0,0,28.34,0.77,0.77,3.06,2.3,0,2.3,0,0,2.3,0.77,0,3.06,0.77,0,7.66,0.77,0,0.77,0,98.81,0,0,0,0.77,0,0
120,0,0,0,33.32,0,0,3.92,0,0,0,0,0,7.84,0,0,0,1.96,0,7.84,0,0,3.92,0,74.47,0,0,1.96,1.96,0,0
