stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
 14-21,0,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,5.75,0,0,0,0,0,0.82,0,0,0,0,0,2.46,0,0,0,0,0,0,0
 36-46,0,1.61,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,13.77,0,0.57,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0
 60-70,1.96,42.21,0,1.96,1.96,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0
 72-82,14.72,72.64,0.98,4.91,4.91,0,0,0.98,0,0,0,0,0,5.89,1.96,0.98,0,0.98,0,0,0
 84-94,7.43,88.15,0,2.12,3.19,0,3.19,0,0,0,0,2.12,0,2.12,1.06,0,0,0,0,0,0
 96-106,14.21,241.52,3.28,2.19,12.02,3.28,7.65,6.56,2.19,2.19,2.19,0,0,9.84,0,0,0,0,1.09,0,1.09
108-118,8.43,172.34,0.77,4.6,4.6,2.3,9.96,7.66,0,0,1.53,0,1.53,8.43,2.3,0,0.77,0,0,0.77,0
120,11.76,233.21,0,0,11.76,0,1.96,5.88,0,1.96,0,1.96,0,5.88,0,0,0,1.96,0,0,0
