stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,1871.27,30612.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304.62,0,0,0,0,0,0,0,0
  5-6,2139.24,26547.45,0,24.52,0,0,0,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0,355.52,49.04,0,0,122.59,0,649.74,0,0,0,0,0,0,0,0
  7-9,205.04,155.09,0,273.39,0,0,696.61,0,0,0,0,294.42,0,0,0,0,0,0,0,0,0,5906.72,110.41,0,0,1067.26,0,36.8,44.69,0,2.63,0,0,0,0,0
 10-12,6.29,31.47,0,119.58,0,12.59,188.82,0,0,0,0,97.56,0,0,0,0,0,0,0,0,0,959.83,66.09,0,0,336.73,0,3.15,25.18,0,69.23,0,0,0,0,0
 14-21,0,0,5,3,83,14,31,1,0,17,5,28,1,0,0,1,3,37,2,0,25,485,12,4,6,9,0,22,9,37,3,0,17,164,0,11
 24-34,0,0,3.28,0.82,9.03,0.82,13.95,0,0,4.93,0,3.28,0.82,0.82,0.82,0,0,22.16,2.46,0,14.78,143.65,0.82,2.46,2.46,0,0,4.93,0,0,0,0.82,0,37.76,0,15.6
 36-46,0,0,0,0,2.42,0,7.25,0,0,2.42,0,0,1.61,0,0,0.81,0,14.5,0,0,5.64,41.89,0,1.61,0,0,0,2.42,1.61,0,0,0,0,12.09,0,14.5
 48-58,0,0.57,0.57,0,1.72,0,6.89,0,0,2.3,0,2.3,1.15,0,0,0,0.57,10.9,0,2.3,3.44,18.94,0,0,0.57,0,0,0,0.57,0,0,0,0,8.03,0.57,11.48
 60-70,0,0,0,0,0.98,0.98,5.89,0,0,0.98,0,6.87,0,0,0,0,0,6.87,0,0.98,0.98,8.83,0,0,0,0,0,0,0,0,0,0,0,0.98,0,13.74
 72-82,0,0,0.98,0,1.96,0,3.93,0,0,0,0,4.91,0.98,0,0,0,0,9.82,0,1.96,2.94,2.94,0,0.98,0,0,0.98,0,0,0,0,0,0,0,1.96,19.63
 84-94,0,0,1.06,0,2.12,0,2.12,0,2.12,2.12,0,7.43,0,0,1.06,0,0,2.12,0,1.06,1.06,3.19,0,0,0,0,0,0,0,0,0,0,0,1.06,0,14.87
 96-106,0,0,1.09,0,1.09,0,1.09,0,0,0,0,1.09,0,0,0,0,0,6.56,0,0,1.09,2.19,0,0,0,0,0,1.09,2.19,0,0,0,0,1.09,0,18.58
108-118,0,0,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0,3.83,0,0,2.3,2.3,0,0,0,0,0,0,0.77,0,0,0,0,0.77,0,14.55
120,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,7.84,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,5.88
