stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,7,0,0,0,0,0,0,23,0,0,0,0,0,2,0,0,18,0,4,0,0,0,0,0,0,1,7,1,0,0,0,0,0
 24-34,0,1.64,0,0,55,0,0,0,0,0,0,55.82,0,0,0,0.82,2.46,2.46,0,0.82,168.28,0,45.97,0,0,0,0,0.82,2.46,0,0.82,24.63,0,0,0.82,0,0
 36-46,0,0,1.61,0,43.51,0,0,0.81,0,0,0,9.67,0,0,0,8.86,4.83,1.61,0,0.81,469.71,0,51.56,0,0,0,0.81,0,0.81,0,0,42.7,0,0,0,0,0.81
 48-58,0,0.57,2.87,0,102.71,0,0,0,8.61,0,0,4.59,0,0.57,0.57,10.33,12.05,0.57,0,2.3,766.6,0,41.31,0,0,0,1.72,0,0,0,0,85.5,0,0.57,0.57,0,1.15
 60-70,0,0.98,0.98,0.98,165.88,0,0.98,0,1.96,0,0,0.98,0,2.94,0,0,21.59,0,0,0,796.01,0,34.35,0.98,0,0,0,0,0,0,0,78.52,0,0,0.98,0.98,3.93
 72-82,0,1.96,5.89,1.96,239.53,0.98,0,0,15.71,0.98,0.98,3.93,1.96,10.8,0,1.96,30.43,0,0.98,3.93,924.73,0,75.59,0.98,0,0,0,0,0,0,0,47.12,2.94,0,0.98,3.93,0
 84-94,0,2.12,3.19,0,242.14,0,0,0,16.99,4.25,2.12,15.93,5.31,5.31,1.06,1.06,22.3,0,1.06,5.31,396.14,0,45.67,5.31,0,0,2.12,0,1.06,1.06,0,25.49,16.99,0,1.06,3.19,0
 96-106,0,1.09,6.56,1.09,213.11,1.09,0,2.19,10.93,0,6.56,4.37,4.37,21.86,3.28,2.19,25.14,0,1.09,2.19,316.93,0,95.08,4.37,0,0,2.19,0,0,0,0,7.65,10.93,0,1.09,0,3.28
108-118,0,0.77,4.6,1.53,221.36,1.53,0.77,0.77,13.79,0,7.66,9.19,6.89,10.72,1.53,2.3,19.92,1.53,0,6.89,347.75,0.77,62.04,4.6,0,0.77,3.06,0,0.77,0,0,10.72,13.02,0,0.77,2.3,0
120,0,1.96,5.88,0,133.27,0,0,1.96,7.84,3.92,13.72,7.84,3.92,17.64,0,0,17.64,1.96,0,3.92,405.68,0,45.08,5.88,0,0,5.88,0,0,0,0,15.68,11.76,0,1.96,1.96,0
