stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,47.32,0,0,0,34.17,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,22.03,0,0,3.15,0,0,0,0
 14-21,0,0,0,3,3,1,6,0,0,0,0,9,0,11,1,1,0,1,0,0,1,6,17,0,0,1
 24-34,0,0,0.82,0.82,0,0,6.57,0,0,0,0,14.78,0,8.21,4.1,0,1.64,0.82,0,0.82,0.82,12.31,18.88,0,0,1.64
 36-46,0,0,0,0.81,0,0,3.22,0,0,0,0,12.89,0,0.81,1.61,0,3.22,0,0,0,0,5.64,12.89,0,0,0
 48-58,0,0,0,0.57,0,0,2.87,0,0,0,0,20.08,0.57,3.44,3.44,0,3.44,0,0,0,0,2.3,9.18,0,0,1.15
 60-70,0,0,0,0.98,0,0,1.96,0,0,0,0,27.48,0.98,1.96,9.82,0,0.98,0.98,0,0,0,2.94,11.78,0,0,0
 72-82,0,0,0,0,0,4.91,3.93,0,0,0,0,21.6,0,3.93,21.6,0,5.89,0.98,0,0.98,0,1.96,7.85,0,0.98,0
 84-94,0,0,0,2.12,0,2.12,0,0,0,0,1.06,11.68,0,0,6.37,0,8.5,1.06,0,1.06,0,8.5,3.19,0,0,1.06
 96-106,0,0,0,1.09,0,0,1.09,0,0,0,0,6.56,0,0,7.65,0,6.56,6.56,0,0,0,0,5.46,0,0,0
108-118,0,0,0,0.77,0,0.77,1.53,0,0,0,0,8.43,0,0,10.72,0,8.43,1.53,0,0,0,1.53,0.77,0.77,0,0
120,0,0,0,0,0,0,0,1.96,1.96,1.96,1.96,3.92,0,0,7.84,0,3.92,0,0,0,0,1.96,1.96,1.96,0,0
