stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,10.51,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,115.66,2.63,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,22.03,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,368.2,6.29,0,0,91.26,0,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,4,60,2,11,0,0,0,0,2,0,2,0,0,0,0,0,0,24,0,0,24,136,4,1,3,1,0,3,3,2,4,23,42,0,0,0,0,0
 24-34,0,0.82,0.82,22.98,0.82,24.63,0.82,0,0.82,10.67,1.64,0,2.46,0,0.82,0.82,0,1.64,1.64,85.37,0,0,50.89,317.67,5.75,0.82,2.46,0,0,13.13,0,0,2.46,6.57,73.06,0,0,6.57,0,0
 36-46,0,0,0.81,20.14,0.81,22.56,1.61,4.03,2.42,14.5,2.42,0,0,0,0,0,0,0,0,58.81,0,0,24.17,241.7,4.83,0.81,4.03,0,0,11.28,0,0.81,0.81,1.61,76.54,0,0,2.42,0,0
 48-58,0.57,0,0.57,8.61,0.57,25.25,4.59,1.15,5.74,25.25,0,0,1.72,0,0,0,1.15,0,0.57,41.31,0,0.57,8.03,134.84,3.44,0,1.15,0,0,4.59,0,0,0.57,0,30.41,0,0,3.44,0,0.57
 60-70,0,0,0,6.87,0,49.08,2.94,4.91,3.93,17.67,0.98,0,0,0,0,0,0,0,0,39.26,0,0.98,7.85,180.6,3.93,0.98,2.94,0,0,6.87,0,0,1.96,0,38.28,0,1.96,2.94,0,0.98
 72-82,0,0,0.98,5.89,11.78,55.95,0.98,1.96,8.83,43.19,1.96,0,0,0.98,0,0.98,0.98,0.98,0,85.4,0,3.93,9.82,177.68,3.93,0.98,4.91,0,0,10.8,0,0,0,0,21.6,0.98,1.96,14.72,1.96,0
 84-94,0,0,0,11.68,2.12,36.11,2.12,3.19,6.37,22.3,3.19,0,0,2.12,0,2.12,1.06,1.06,1.06,28.68,0,0,2.12,113.64,0,0,1.06,0,0,12.74,0,0,1.06,0,12.74,0,0,4.25,4.25,1.06
 96-106,0,0,0,8.74,4.37,37.16,1.09,5.46,5.46,24.04,1.09,0,1.09,0,1.09,1.09,0,2.19,0,36.06,1.09,1.09,8.74,78.68,2.19,2.19,4.37,0,0,17.49,0,0,1.09,0,4.37,0,0,4.37,3.28,1.09
108-118,0,0,0,9.96,3.83,19.15,0.77,3.83,3.83,23.74,0.77,0,0,0.77,1.53,2.3,0,2.3,0,38.3,0,0,7.66,93.45,0.77,0,3.83,0,0.77,14.55,0,0,0,0,2.3,0.77,0.77,2.3,0.77,0.77
120,0,0,0,25.48,7.84,43.12,0,1.96,3.92,25.48,1.96,0,0,1.96,1.96,0,0,0,0,25.48,0,1.96,9.8,64.67,1.96,0,9.8,0,0,21.56,0,1.96,1.96,0,5.88,1.96,0,7.84,0,1.96
