stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,1,12,0,0,0,0,0,0,0
 24-34,0,0,18.06,0.82,0,0,0,0,0,0,0,4.93,0,0,0,0,0.82,0.82,11.49,0,0,4.93,4.93,0,0,0,0,0,37.76,0,0.82,0,0,0,0,0
 36-46,0,0,2.42,0,0,0,0,0,0,0.81,0.81,3.22,0,0,0,0,2.42,0,17.72,0,0,3.22,2.42,0,0,0,0,0,20.14,0,0.81,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,1.15,0,7.46,0,0,0,0,1.15,0,24.1,0,0,6.31,6.31,0,0,0.57,0.57,0,10.33,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,4.91,0.98,11.78,0,0,0,0,1.96,0,35.33,0,0.98,7.85,3.93,0,0,1.96,0,0,8.83,0,1.96,0,0.98,0,0.98,0
 72-82,0,1.96,0,0.98,0,0,9.82,0,0,5.89,0.98,94.24,0,0,0,0,4.91,0,40.25,0,5.89,2.94,18.65,0.98,0,0.98,0,0,22.58,0.98,0.98,0,0.98,0,0.98,0
 84-94,0,0,1.06,0,0,1.06,11.68,1.06,0,2.12,1.06,154,0,0,0,0,5.31,0,33.99,0,2.12,5.31,10.62,0,0,0,1.06,0,57.35,0,2.12,0,3.19,2.12,4.25,0
 96-106,0,2.19,1.09,3.28,1.09,0,20.76,0,1.09,3.28,3.28,281.95,0,1.09,2.19,1.09,5.46,1.09,41.53,1.09,3.28,3.28,31.69,0,0,3.28,3.28,0,41.53,0,1.09,0,2.19,2.19,3.28,1.09
108-118,0,0,0,0.77,0.77,1.53,13.02,0,0.77,3.06,1.53,334.73,0.77,0.77,0,0,9.19,0,36,0,6.13,2.3,18.38,0,1.53,0.77,2.3,0,48.26,0,1.53,0.77,1.53,3.06,0.77,0
120,0,0,0,0,0,0,11.76,0,0,1.96,0,258.69,0,1.96,0,0,1.96,0,37.24,1.96,1.96,1.96,5.88,0,0,0,3.92,0,19.6,0,1.96,0,1.96,1.96,1.96,1.96
