stage,epidermis,erythrocytes,eye,glial,gut,heart,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,3,0,0,0,0
 24-34,0,0,1.64,0.82,0,0,0,0,0,0,0,28.73,1.64,0,0,0,0,9.03,0,0,0.82,0
 36-46,0,0,4.03,1.61,0,0.81,0,0,0.81,0,0.81,88.62,0,0,0,0.81,0,20.14,0,0,0,0
 48-58,0,0,13.2,4.02,0,0,1.15,0,3.44,0,0.57,74.59,1.15,0,0,0,0,17.21,0,0,0,0
 60-70,0.98,0,23.56,0,0,0,0,0,2.94,0,0,69.69,0,0,0.98,0,0,12.76,0,0,1.96,0
 72-82,0.98,0,36.32,1.96,0,0,0,0,7.85,0,0.98,71.66,0,0,0,0,0,9.82,0,0,0.98,0.98
 84-94,1.06,1.06,15.93,0,0,0,0,1.06,1.06,0,0,27.61,0,0,0,0,0,2.12,1.06,0,0,0
 96-106,1.09,0,10.93,1.09,1.09,0,0,0,4.37,0,0,25.14,0,0,0,0,0,0,0,1.09,0,0
108-118,0.77,0,9.96,0,0,0,0,0,3.83,0.77,0,16.09,0,0,0.77,0,0,0,0,0,0.77,0
120,0,0,11.76,0,0,1.96,0,0,1.96,0,0,35.28,1.96,1.96,0,0,0,1.96,0,0,0,0
