stage,eye,glial,heart,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 24-34,0.82,0.82,0,0.82,0,0,1.64,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0.81,0,0,0,0,0
 48-58,0.57,0.57,0,6.31,0.57,0,0,0,0,0,0.57,0,0
 60-70,0.98,0,0,4.91,0.98,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,8.83,0,0,0.98,0,0,0,0.98,0.98,0.98
 84-94,0,0,1.06,4.25,1.06,1.06,3.19,0,0,1.06,0,1.06,0
 96-106,1.09,0,0,3.28,0,0,2.19,0,0,0,0,1.09,3.28
108-118,0.77,0,0,4.6,0,0,0.77,0,0,0.77,0,2.3,0
120,0,1.96,0,7.84,1.96,0,0,0,0,0,0,0,0
