stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,37.76,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,104,24,1,0,0,0,4,6,11,39,78,0,0,0,0,0
 24-34,0,0,0.82,0,14.78,0,0,13.13,3.28,0,0,0.82,0,0.82,0,1.64,0,0,0.82,0.82,12.31,0,0,5.75,323.42,0.82,3.28,0,0,0.82,0,28.73,16.42,39.4,132.98,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,21.75,3.22,0,0.81,0,0,3.22,0,0,0,0,0,0,8.86,0,0,4.83,688.04,0,4.03,0.81,0,4.03,0,12.89,14.5,1.61,169.19,0,0,0.81,0,0.81
 48-58,0,0,0,0,5.16,0.57,0,91.81,2.3,0.57,0.57,8.61,0.57,1.72,0,0,0,0.57,1.15,1.15,22.38,0.57,0,3.44,844.64,0.57,1.72,0.57,0,1.72,0,4.59,23.53,0,177.88,0,0,0.57,0,1.15
 60-70,0,0,3.93,0,2.94,0,0,249.31,4.91,0.98,1.96,9.82,3.93,0,0,0,0.98,0,0,0,34.35,0,0,7.85,1328,0.98,0,0.98,0.98,0.98,0,1.96,7.85,0,175.69,0,0,0,0.98,0.98
 72-82,0,0,5.89,0,7.85,1.96,0,351.43,5.89,2.94,4.91,28.47,12.76,0.98,2.94,0,0.98,0.98,0.98,0.98,69.7,0.98,0.98,5.89,1260.45,0,0,2.94,0,2.94,0,0.98,2.94,0,96.2,0.98,0.98,1.96,0,4.91
 84-94,0,0,9.56,0,9.56,2.12,0,201.79,6.37,3.19,2.12,32.92,15.93,1.06,0,2.12,3.19,0,1.06,2.12,53.1,0,1.06,2.12,663.77,0,2.12,0,0,0,0,3.19,2.12,0,57.35,0,2.12,1.06,1.06,1.06
 96-106,0,0,1.09,0,14.21,4.37,1.09,183.6,7.65,2.19,4.37,41.53,7.65,1.09,3.28,0,3.28,0,3.28,3.28,67.76,0,1.09,3.28,528.94,0,3.28,0,0,1.09,0,4.37,6.56,0,20.76,0,0,0,2.19,0
108-118,0,0,0.77,0,5.36,1.53,1.53,140.17,10.72,0.77,0.77,32.94,9.96,0.77,0.77,0.77,0,0,4.6,0,40.6,0,0.77,5.36,671.75,0.77,3.06,0.77,0,1.53,0,11.49,16.09,0,12.26,0,0,2.3,3.06,0.77
120,0,0,0,0,9.8,3.92,0,97.99,9.8,0,3.92,23.52,9.8,1.96,1.96,0,0,0,0,0,23.52,0,1.96,1.96,601.65,0,0,0,0,3.92,0,5.88,3.92,0,19.6,0,0,1.96,0,1.96
