stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,30.65,386.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,1,0,6,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,0,1,28,0,0,0,0,0,1,1,0,5,0,0,0,0,0
 24-34,0,0,0.82,1.64,8.21,1.64,0,19.7,0,0,0,1.64,0.82,0,0,0,2.46,0,1.64,1.64,0.82,9.03,1.64,0,1.64,77.98,0,0.82,1.64,0,0,13.13,4.1,0,6.57,0,0,4.93,0,0
 36-46,0,0,0,0,4.03,0,0,22.56,0,0,0.81,8.86,0.81,0,0.81,0.81,0.81,0.81,0.81,0.81,0,11.28,0.81,0,4.83,79.76,0,1.61,2.42,0,0,10.47,4.03,0,17.72,0,0,2.42,0,1.61
 48-58,0,0,0,0,4.02,0,0,32.71,0.57,0,1.15,13.2,2.87,0,0,0,0.57,0,0,0.57,1.15,23.53,0.57,0,6.31,60.25,0.57,1.15,2.87,0,0,5.74,1.72,1.15,14.35,0,0,2.87,0,0.57
 60-70,0,0,0.98,0,8.83,0,0,65.76,0,0.98,0.98,41.22,7.85,0,0,3.93,0,0,0.98,1.96,0,53,1.96,0.98,2.94,71.65,1.96,3.93,0,0,0,10.8,0.98,1.96,14.72,0.98,0.98,3.93,0,0.98
 72-82,0,0,1.96,0,12.76,12.76,0,84.42,0,0.98,0.98,58.9,26.5,0,0.98,0.98,0.98,0,3.93,8.83,0,104.06,1.96,3.93,6.87,109.95,0,1.96,2.94,0,0,8.83,7.85,0,11.78,0.98,0.98,12.76,2.94,1.96
 84-94,0,0,0,0,13.81,7.43,3.19,60.54,0,4.25,3.19,32.92,33.99,0,0,5.31,6.37,1.06,1.06,28.68,3.19,52.04,1.06,2.12,1.06,59.47,0,4.25,4.25,0,2.12,22.3,8.5,0,7.43,1.06,2.12,6.37,1.06,2.12
 96-106,0,0,1.09,0,24.04,4.37,2.19,56.83,0,1.09,2.19,36.06,49.18,0,2.19,9.84,4.37,1.09,0,28.41,1.09,60.11,2.19,4.37,4.37,60.11,3.28,10.93,7.65,0,3.28,14.21,18.58,1.09,6.56,1.09,1.09,7.65,4.37,1.09
108-118,0,0,0.77,0,21.45,9.19,6.89,51.32,2.3,3.83,2.3,41.36,59.75,0,0,3.06,3.83,3.83,2.3,73.53,0.77,58.98,0,0.77,3.06,80.43,3.06,4.6,6.13,0,0.77,22.21,8.43,0,1.53,1.53,0.77,7.66,3.83,4.6
120,0,0,1.96,1.96,27.44,3.92,1.96,25.48,0,0,0,19.6,68.59,0,0,9.8,7.84,1.96,0,72.51,0,37.24,0,0,5.88,64.67,9.8,11.76,3.92,0,0,15.68,11.76,0,5.88,1.96,0,3.92,0,0
