stage,axial,blastomeres,endoderm,eye,fast_muscle,fin_epithelia,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,9.44,6.29,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0.57,0,0,0.57,0,0,0.57
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0
