stage,blastomeres,epidermis,eye,fast.muscle,glial,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,3,0,0,0,0,2,5,1,0,1,0,1,1,8,98,85,8,0,0,0,0
 24-34,0,0,0.82,4.1,1.64,0,0,0,0.82,5.75,14.78,0.82,1.64,0,0,0.82,0,13.95,53.36,46.79,8.21,0,0,0,0
 36-46,0,0.81,2.42,13.7,0,0,0,0,0.81,2.42,13.7,0,0,0.81,0,0,0,5.64,34.64,4.03,4.83,0,0,0,0
 48-58,0,0,2.87,10.9,1.15,0,0.57,0,0,5.74,6.89,0.57,0,0,0,0,0,4.02,22.95,0,0.57,0,0,0,1.15
 60-70,0,0,0.98,3.93,0.98,0,0,0,0,6.87,1.96,0.98,0,0,0,0,0,2.94,11.78,0,1.96,0,0,0.98,0
 72-82,0,0,0.98,5.89,0,0,0,0,1.96,3.93,0.98,0,0,0,0.98,0,0,1.96,11.78,0,1.96,0,0,0.98,0
 84-94,0,0,0,12.74,2.12,0,0,0,0,3.19,0,0,0,0,0,1.06,0,4.25,18.05,0,1.06,0,0,6.37,0
 96-106,0,0,2.19,13.11,2.19,0,1.09,0,0,1.09,2.19,0,0,1.09,0,0,0,2.19,21.86,0,0,0,1.09,2.19,0
108-118,0,0,0,9.19,1.53,0.77,0,0.77,0,4.6,0.77,0.77,0,0,0,0,0,0,16.09,0,0,0.77,0,2.3,0
120,0,0,0,9.8,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0
