stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,1.64,0,4.1,0,0,0,0,0,0,0.82,47.61
 36-46,0,0,0.81,0,0.81,0,0.81,0,0.81,0,0.81,0.81,10.47,0.81,0,0,0,1.61,0,0.81,144.21
 48-58,0.57,0,1.72,0,1.72,0,0.57,0,0,0.57,2.87,0,14.35,0.57,0,0,0.57,2.3,0,0.57,187.63
 60-70,0,0.98,0.98,0,0.98,0,0,0,0,0,0,0.98,10.8,0,0,0,0.98,1.96,0,0,114.84
 72-82,0.98,0,1.96,0.98,1.96,1.96,0,0,0,1.96,2.94,0,4.91,1.96,0.98,0,0,0,0,0,70.68
 84-94,0,0,3.19,0,1.06,0,0,0,0,0,2.12,0,2.12,0,0,0,0,0,0,0,57.35
 96-106,0,0,2.19,0,1.09,1.09,0,0,0,0,1.09,0,2.19,0,1.09,0,0,0,0,2.19,45.9
108-118,1.53,0.77,0,0,0.77,0.77,0,0.77,2.3,0.77,0.77,0,1.53,0.77,0.77,0.77,0.77,0,0.77,0.77,55.15
120,0,0,0,0,1.96,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,29.4
