stage,epidermis,eye,glial,gut,iridophores,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,2,1,0,0,0,1,1,36,0,0,1,0,12,0,0
 24-34,0.82,0.82,0,0,0,0,0.82,0.82,77.98,0,0,0,0,24.63,0,0.82
 36-46,0,0.81,2.42,0,0,0.81,1.61,0.81,70.09,0,0,0,0.81,19.34,0,0
 48-58,0,1.72,0.57,0,0.57,0,2.87,0,33.85,0,0,0,0,12.05,0,0
 60-70,0,15.7,7.85,0,0,0,0.98,0,47.11,0.98,0,0,0,5.89,0,0
 72-82,0,15.71,1.96,0.98,0,0,3.93,0,38.28,0,0,0,0,1.96,0,0
 84-94,1.06,5.31,2.12,0,1.06,0,1.06,0,12.74,0,0,0,0,3.19,1.06,0
 96-106,0,4.37,1.09,0,0,0,2.19,0,8.74,0,0,0,0,0,0,0
108-118,0,1.53,0.77,0,0,0,1.53,0,8.43,0,0,0,0,0,0,0
120,0,7.84,1.96,0,0,0,0,0,9.8,0,0,0,0,1.96,0,0
