stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,12,0,8,0,0,2,2,0,0,0,0,10,0,0,5,52,3,1,2,0,0,0,14,0,2,20,25,0
 24-34,0,0,0.82,0.82,0.82,1.64,0.82,0,2.46,0,0,0,0,0,4.93,0,0,2.46,22.98,0,0,0,0,0.82,0,0,0,0,0.82,4.93,0.82
 36-46,0,0,0,0.81,0,2.42,0,0,1.61,0.81,0,0,0,0,4.03,0,0,0.81,27.39,0,0,0,0,0,0.81,0,0,0,0,8.86,1.61
 48-58,0,0.57,0,0.57,0,10.33,0,0.57,2.87,0,0,0,0,0,2.87,0.57,0,0,21.23,0,1.15,0,0,0,0,0,0,0,0,4.02,0
 60-70,0,0,0,2.94,0,15.7,0,0.98,3.93,0.98,0,0,0.98,0,7.85,0,0,1.96,37.3,0.98,0,0,0,0,0,0,0,0,0,10.8,2.94
 72-82,0,0,0,0.98,0.98,15.71,0,0,5.89,0,0.98,0,0,0,8.83,0,0,0.98,29.45,0,0,0,0,0.98,0,0,0,0,0,2.94,0
 84-94,0,0,0,1.06,0,9.56,2.12,0,5.31,0,0,0,0,1.06,4.25,0,0,0,10.62,0,0,0,0,2.12,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,3.28,5.46,6.56,0,0,3.28,1.09,0,1.09,1.09,0,5.46,1.09,0,0,10.93,0,0,0,0,3.28,0,0,0,0,0,1.09,1.09
108-118,0,0,0,3.83,0.77,12.26,0,1.53,3.06,0,0,0,4.6,0,4.6,0,0.77,0,14.55,0.77,0.77,0,0.77,0.77,0,0,1.53,0,0,0,0.77
120,0,0,0,3.92,3.92,1.96,0,0,1.96,0,1.96,0,0,0,3.92,0,0,0,11.76,1.96,0,0,0,7.84,0,0,0,0,0,1.96,0
