stage,epidermis,fin.epithelia,ionocyte,iridophores,liver,mesenchyme,mucous,neural,olfactory,otic,spinal.cord,taste
 14-21,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,2.46,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0.57,0,1.72,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,2.94,0,0,0,1.96
 84-94,0,0,0,0,1.06,0,0,2.12,1.06,0,0,15.93
 96-106,0,1.09,1.09,0,0,1.09,0,2.19,0,1.09,0,46.99
108-118,0,0,0.77,0,0,0,0,2.3,0,0,0,58.21
120,0,0,1.96,1.96,0,1.96,0,0,0,0,1.96,23.52
