stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,25.18,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,4,0,1,45,1,2,0,3,1,0,3,1,14,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,13.95,0,0.82,1.64,0,0,0,0,0,0,0,10.67,0,1.64,89.47,0,0,0,0,7.39,0,0,0.82,22.16,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,10.47,0.81,0.81,0.81,0,0,0,0,0,0.81,0,6.45,0.81,0,70.09,0,0,1.61,0,4.03,0,0,0,18.53,0,1.61,0,0.81
 48-58,0,0,0,0,0.57,0,20.08,0,0,5.16,0,0,0,0,0.57,0,0.57,12.62,0,1.15,29.26,0,0,0,0,2.87,0,0,0,8.61,0,0.57,0,1.15
 60-70,0,0,0.98,0,1.96,0,4.91,0,0,10.8,1.96,0.98,0,0.98,0,0,0,8.83,1.96,1.96,8.83,0,0,0.98,0,2.94,0,0,0,0.98,0.98,0,0,0
 72-82,0,0,0,0,0.98,0,5.89,0.98,0,3.93,0.98,0,0,0.98,0,0,0,18.65,1.96,0,17.67,0,0,2.94,0,3.93,0,0,0,0.98,0,1.96,0.98,0.98
 84-94,0,0,1.06,0,3.19,0,2.12,0,0,5.31,1.06,0,0,0,0,0,0,10.62,0,3.19,7.43,0,0,0,0,6.37,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,3.28,0,7.65,0,0,2.19,1.09,0,0,0,0,0,0,6.56,0,0,5.46,1.09,0,1.09,0,4.37,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,3.83,0.77,1.53,3.83,0.77,0,0.77,0,0,0,0,2.3,0,1.53,7.66,0.77,1.53,0.77,0,3.83,0,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,1.96,5.88,1.96,0,0,0,0,1.96,0,5.88,0,1.96,3.92,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0
