stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,0,3,3,0,0,1,0,1,0,60,0,0,0,0,0
 24-34,0,8.21,0,3.28,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,322.6,0,16.42,0,0,0,0.82,0,0,0.82,156.78,0,0,0,0,0
 36-46,0,3.22,0,1.61,0,8.06,0,0,4.03,0,0,0,2.42,0,0,0,0,0,11.28,0,0,0,812.11,0.81,25.78,0,0,0,0,0,0,0,195.78,0,0,0,0,0.81
 48-58,0,3.44,0,3.44,0,56.23,0,0,9.18,0,0,0,1.15,0,0,0.57,0,0.57,10.9,0.57,0,0.57,1310,0.57,16.64,0.57,0,0,2.87,0,0.57,0,229.52,0,0,0,0,0.57
 60-70,0,2.94,0,3.93,0.98,159.99,0,0,9.82,1.96,0,0,0.98,0,0,0,0,0,6.87,0,0,0,2011.14,0,27.48,0.98,0,0,0.98,0,0,0,315.07,0,0,1.96,0,1.96
 72-82,0,5.89,0,13.74,2.94,433.89,0.98,2.94,36.32,10.8,0,0,1.96,0,0.98,0,1.96,0,31.41,0,0,0.98,2598.46,0,46.14,2.94,0,0,3.93,0.98,0,0,241.49,0.98,0,3.93,0.98,3.93
 84-94,0,12.74,0,10.62,2.12,275.07,0,2.12,37.17,11.68,0,0,5.31,2.12,1.06,0,1.06,1.06,14.87,0,2.12,1.06,1339.23,0,33.99,3.19,0,0,4.25,0,0,0,132.75,2.12,1.06,5.31,2.12,0
 96-106,0,22.95,0,14.21,4.37,253.54,0,3.28,42.62,19.67,0,0,10.93,0,0,1.09,3.28,0,27.32,1.09,1.09,1.09,1198.85,1.09,60.11,8.74,0,0,10.93,1.09,0,0,65.57,2.19,0,0,2.19,4.37
108-118,0,12.26,1.53,18.38,1.53,201.45,2.3,3.06,37.53,9.19,0,0,16.85,0.77,0.77,0.77,0.77,0.77,23.74,0,1.53,2.3,1465.29,0.77,36.77,9.96,0,2.3,3.06,0.77,0,0,40.6,0,0.77,1.53,3.83,0
120,0,7.84,0,7.84,1.96,150.9,0,1.96,21.56,7.84,0,1.96,5.88,0,0,1.96,0,0,19.6,0,3.92,1.96,1211.15,0,23.52,3.92,0,1.96,1.96,1.96,0,0,35.28,0,0,0,1.96,0
