stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,34.62,6.29,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,20,1,0,0,0,6,1,0,0,0,1,0,0,0,0,4,0,1,28,1,1,6,4,2,4,34,0,3,21,0,0,0
 24-34,0,0,0.82,0,2.46,0,4.1,0,0,2.46,0.82,0,0,0,0,0,0.82,0,0,4.93,0,4.1,31.19,0,9.85,3.28,0,0.82,0,26.27,0,0.82,11.49,0,0,0
 36-46,0,0,0.81,0,0,0,7.25,0,0,0.81,0,0,0.81,0,0.81,0,0.81,0,0,3.22,0,0,61.23,0,12.89,2.42,0,0.81,0,11.28,0.81,0,13.7,0,0.81,0
 48-58,0,0,0,0,0,0,12.05,0.57,0.57,4.02,0.57,0,0,0,0,0,0.57,0,0,7.46,0.57,2.3,44.18,0.57,10.33,4.02,0,1.15,0,2.3,0.57,0,5.74,0,0.57,0
 60-70,0,0,0.98,0,2.94,0,20.61,0,0,3.93,0.98,0.98,0,0,0,0,3.93,0,0,5.89,0,0,41.22,0.98,14.72,7.85,0,0.98,0,2.94,0,0,6.87,0,0.98,0
 72-82,0,0,1.96,0,0,0,17.67,0,0,5.89,1.96,0,1.96,0,0,0,11.78,0.98,0,5.89,0,0,37.3,0,24.54,21.6,0,0,0,3.93,0,0,2.94,0,1.96,0
 84-94,0,0,0,1.06,3.19,0,14.87,0,0,0,2.12,0,0,1.06,2.12,1.06,6.37,0,0,4.25,1.06,0,14.87,0,13.81,27.61,0,0,0,3.19,0,0,3.19,1.06,0,0
 96-106,0,0,0,0,2.19,1.09,14.21,1.09,0,5.46,3.28,0,0,0,0,0,17.49,0,0,3.28,0,0,19.67,0,31.69,32.79,0,0,0,0,0,0,0,0,1.09,2.19
108-118,0,0,0,0,1.53,0.77,6.89,0,0,2.3,0,0,0.77,0,0.77,0,7.66,0,0.77,3.83,0,0.77,17.62,0,19.15,27.57,0,0,0,3.06,0,0,1.53,0,0,0
120,0,0,1.96,0,1.96,1.96,21.56,0,0,1.96,1.96,0,0,0,0,0,7.84,0,0,1.96,0,1.96,23.52,0,9.8,31.36,0,1.96,0,1.96,0,0,1.96,0,0,0
