stage,blastomeres,endoderm,erythrocytes,eye,fast.muscle,glial,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,2.63,0,0,49.95,2.63,26.29,0,0,0
 10-12,3.15,0,0,12.59,0,0,0,0,0,56.65,0,12.59,3.15,3.15,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0
