stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,7,0,0,0,0
 24-34,0,0.82,0,0,0,0.82,0,0,1.64,0,0,0,0.82,0,0,0.82,92.76,0,1.64,0,0,0.82,0,24.63,0,0,0,0
 36-46,0,0,0,0.81,0,2.42,0,0,0,0,0,0,0.81,0,0,0,217.53,0,0.81,0,0,0.81,0,53.98,0,0,0,0.81
 48-58,0,0,0,0.57,0,14.35,0.57,0,6.89,0,0,4.59,4.02,0,0,2.87,390.19,0.57,0,0,0,0.57,0.57,63.69,0,1.15,0,0
 60-70,0,0,0,3.93,0.98,46.13,0,0,24.54,0,0,5.89,5.89,0,0,0,721.42,0,0,0,0,0.98,0,73.61,0,0.98,0,0
 72-82,0,0.98,0,3.93,0.98,96.2,0,0,35.34,0,0,6.87,9.82,0.98,0,0,741.15,0,0.98,1.96,0,0.98,0,57.92,0,0.98,0,0
 84-94,0,0,0,9.56,1.06,67.97,0,0,20.18,0,0,5.31,10.62,0,1.06,0,351.53,0,1.06,0,0,1.06,0,36.11,1.06,1.06,1.06,0
 96-106,0,0,0,4.37,0,61.2,0,1.09,20.76,0,1.09,5.46,13.11,0,0,1.09,343.15,0,0,1.09,0,1.09,0,18.58,1.09,0,0,1.09
108-118,0,0,0,4.6,0,50.55,0,0,23.74,2.3,1.53,1.53,7.66,0,0,0.77,355.41,0,0.77,0.77,0,2.3,0,15.32,0.77,0,0,0
120,0,1.96,0,9.8,0,58.79,0,0,31.36,1.96,0,3.92,5.88,0,0,1.96,423.31,0,0,0,0,1.96,0,23.52,0,0,0,0
