stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,pericytes,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,1,0,1,5,0,0,0,1,4,0,0,0,0
 24-34,1.64,0,0,0,0.82,0,0,0,0.82,3.28,0,1.64,36.12,0,0,0,0,9.03,0,0.82,0,0
 36-46,0,0,9.67,0,1.61,0,0,0,0,8.06,0,0.81,98.29,1.61,0,0,0,24.98,0,1.61,0,0
 48-58,0,0.57,12.05,0,5.16,0,0,0,0,8.03,0,0.57,84.35,0,0,0,0,23.53,0,0,0,0
 60-70,0,0,47.11,0,6.87,0,0,0,0,14.72,0,0.98,117.78,0,0,0,0,22.58,0.98,1.96,0.98,0
 72-82,0,0.98,40.25,0,9.82,0.98,0,0,0,28.47,0,0.98,91.29,1.96,0,0,0,10.8,0,3.93,0,0
 84-94,0,0,29.74,1.06,2.12,0,0,0,0,10.62,0,1.06,58.41,1.06,0,0,0,9.56,1.06,2.12,0,1.06
 96-106,0,1.09,14.21,0,7.65,0,1.09,0,0,12.02,1.09,2.19,32.79,0,0,1.09,0,1.09,0,1.09,0,0
108-118,0,0.77,15.32,0.77,2.3,0,1.53,0,0,9.96,0.77,0.77,34.47,0,0,0,0,1.53,0.77,4.6,0.77,0
120,0,0,7.84,0,1.96,0,0,1.96,0,9.8,1.96,0,19.6,0,1.96,0,0,0,0,0,0,0
