stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3,22,0,1,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,4,84,11,0,0,1,0,0,3,0,0,4,57,0,0,1,0,0
 24-34,0,0.82,3.28,0,2.46,0,0,0,23.8,0,0,0,0,0,0,0,0,3.28,0,0,1.64,257.75,2.46,0,0,0,0,0.82,0,2.46,0,0,102.61,0,0,3.28,0,0
 36-46,0,0,0.81,0,3.22,0,0,0,34.64,0,0,0,0,0,0,0,0,7.25,0,0,0.81,324.68,0.81,0,0,0,0,1.61,0,0.81,1.61,0,108.77,0,0,1.61,0,0
 48-58,0,2.87,1.72,0,22.38,0,0.57,0.57,49.35,0,0.57,0,0,0,0.57,0,0,12.05,0,0,4.59,456.75,1.72,0.57,0,0,0,0.57,0,1.72,5.74,0,106.73,0,0,1.72,0,0.57
 60-70,0,0,0.98,0,38.28,0,0,0,110.91,0,0,0,0,0,0,0,0.98,11.78,0,1.96,2.94,870.61,0,0,0,0,0,1.96,0,0,5.89,0,139.38,0,0,0.98,5.89,0
 72-82,0.98,4.91,6.87,0,105.04,0,0,2.94,221.86,0,0,0.98,0.98,0,0,0.98,0,22.58,0,5.89,1.96,1052.34,0,0.98,0,0,0,0,0,1.96,2.94,0,91.29,0,0.98,0.98,16.69,0
 84-94,1.06,10.62,2.12,0,70.09,0,2.12,2.12,125.32,0,2.12,1.06,2.12,0,0,1.06,0,13.81,1.06,3.19,3.19,546.95,3.19,0,2.12,0,0,1.06,0,0,3.19,0,56.29,0,2.12,2.12,23.36,0
 96-106,0,10.93,8.74,1.09,74.31,3.28,2.19,0,158.46,1.09,0,2.19,0,0,1.09,2.19,0,30.6,0,4.37,1.09,578.12,1.09,0,4.37,0,1.09,3.28,0,1.09,2.19,0,26.23,0,1.09,0,17.49,0
108-118,0,13.79,2.3,0,46.72,1.53,0,0,125.62,2.3,0,2.3,0,1.53,0,2.3,0,12.26,0.77,2.3,3.83,548.43,0,0,2.3,0,1.53,0.77,0,0.77,4.6,0,21.45,0.77,2.3,0.77,13.79,0
120,0,19.6,5.88,0,39.2,0,1.96,1.96,135.23,1.96,0,0,0,0,0,3.92,0,17.64,0,5.88,0,572.26,1.96,0,3.92,0,0,3.92,0,0,0,0,25.48,0,0,0,11.76,0
