stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,85,1,0,0,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,65,0
 24-34,0,0,0,0,0.82,5.75,0.82,0,0,0.82,2.46,11.49,1.64,0,0,0,1.64,0,0.82,19.7,0,0,0,0,0,0.82,0.82,3.28,0.82,4.1,0,237.23,0
 36-46,0,0,0,0,0,0.81,2.42,0,0,0,0,7.25,0.81,0,0,0.81,0.81,0,0.81,9.67,0.81,0.81,0,0,0,0,0,1.61,0,1.61,0,116.02,0
 48-58,0,0,0,0,0.57,1.15,5.16,0,0.57,0,0.57,9.18,1.72,0,0,0,0,0,0.57,8.61,0,0,0.57,0,0,0.57,0,0,0,1.72,0,101.56,0
 60-70,0.98,0,0.98,0,0,0.98,6.87,0,0,0,2.94,7.85,3.93,0,0,0,0.98,0,0,13.74,0,0,0,0,0,0,0,0,0,3.93,0,103.06,0
 72-82,0,0,0,0,0.98,1.96,4.91,0,0,0.98,0,11.78,4.91,0,0,0,2.94,0,0,7.85,0,0,0,0,0,0,0,0,0,0.98,0.98,178.66,0
 84-94,0,0,0,0,1.06,1.06,1.06,0,0,2.12,0,8.5,8.5,0,0,0,4.25,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,152.93,0
 96-106,0,0,0,0,0,2.19,4.37,1.09,0,1.09,1.09,15.3,5.46,1.09,1.09,0,8.74,0,1.09,2.19,0,0,1.09,0,1.09,2.19,1.09,0,0,0,0,198.9,1.09
108-118,0.77,0,0,0,0,0,3.06,0,0.77,0.77,0,5.36,4.6,0.77,0,0,3.83,0,1.53,6.89,0,0,0.77,0,0.77,1.53,0.77,0.77,0,0,0,165.45,0
120,0,0,0,0,0,1.96,1.96,0,0,0,0,11.76,11.76,0,0,0,5.88,1.96,0,7.84,0,0,1.96,0,0,1.96,0,0,0,0,0,174.42,0
