stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,18.39,490.37,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0,92,2.63,0,18.4,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,0,0,0,2,3,36,1,2,1,0,1,0,6,14,0,1
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,1.64,10.67,0,0.82,0,0,0,0,0.82,5.75,0.82,0
 36-46,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0,1.61,1.61,8.06,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,3.44,0,0,3.44,0.57,0,0,0,0.57,1.15,0,6.89,0,0,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0.98,0.98,1.96,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,2.94,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,1.06,0,0,1.06,0,0,0,0,0,0,3.19,0,1.06,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,1.09,1.09,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,1.53,0.77,0,0.77,0,0,0.77,0,3.83,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
