stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,3.15,0,0,0,0,0,47.2,0,0,0,0,3.15,0,0,0,0,0,47.2,9.44,0,28.32,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,6,42,3,0,2,0,0,0,2,6,29,1,2,1,0,18,0,27,1,0,25,150,32,1,1,0,15,2,27,2,2,117,102,0,0,1,0,0
 24-34,0,0.82,11.49,29.55,0.82,0,11.49,0,11.49,1.64,4.1,2.46,1.64,0.82,0.82,4.1,0,18.88,0,65.67,1.64,0,48.43,624.67,6.57,3.28,0,0,2.46,0,0,1.64,0,21.34,178.95,0,0,1.64,0,0.82
 36-46,0,0.81,0.81,5.64,0,0,8.06,0,8.06,1.61,4.03,2.42,3.22,0.81,0.81,0,0,8.86,1.61,70.09,2.42,0.81,17.72,493.88,3.22,0,0,0,2.42,0,0,1.61,0,0,144.21,0,0,0.81,0,0
 48-58,0,1.72,1.72,4.02,0,0,5.74,0.57,11.48,5.16,2.3,2.87,9.18,0,0,0.57,0,9.18,1.15,71.73,0,1.72,10.33,95.83,1.72,0.57,0,0,0.57,0,0,0.57,0,0,72.87,0,0,0.57,0,0
 60-70,0,0,0,3.93,0,1.96,4.91,0.98,6.87,1.96,1.96,2.94,1.96,0.98,0.98,0,0,15.7,0,82.45,0.98,0.98,4.91,25.52,0,0,0,0,0,0,0,0,0.98,0,7.85,0,0,0,0.98,0
 72-82,0,6.87,0,1.96,0,49.08,11.78,0.98,3.93,7.85,3.93,5.89,0.98,0,0,0.98,1.96,27.49,0,124.67,1.96,1.96,2.94,27.49,0,0,0,0,0,0,0,0,0,0,2.94,2.94,0.98,0,0,0
 84-94,0,2.12,0,7.43,0,103.02,6.37,0,4.25,5.31,3.19,15.93,2.12,0,1.06,1.06,2.12,62.66,1.06,114.7,1.06,2.12,3.19,28.68,0,0,0,1.06,1.06,0,0,2.12,0,0,2.12,0,0,0,0,1.06
 96-106,0,9.84,0,7.65,2.19,162.83,6.56,1.09,19.67,4.37,5.46,13.11,0,2.19,4.37,0,0,116.93,0,185.78,0,2.19,2.19,36.06,0,0,0,1.09,1.09,0,0,0,0,0,1.09,0,1.09,2.19,1.09,1.09
108-118,0,6.89,0.77,7.66,0.77,412.09,6.13,0,34.47,6.89,8.43,13.02,0,0,2.3,2.3,0,426.64,0.77,176.94,0,0.77,3.83,36.77,0,0,0,0.77,2.3,0,0,0.77,0.77,0,1.53,0,1.53,1.53,0.77,0.77
120,0,5.88,1.96,5.88,3.92,156.78,5.88,0,13.72,11.76,5.88,15.68,0,0,1.96,0,0,243.01,0,162.66,1.96,1.96,5.88,17.64,0,0,0,0,0,0,0,3.92,0,0,1.96,1.96,0,1.96,0,0
