stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,2,15,0,0,0,0,0,0,0,5,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,2.46,0,1.64,0,0,0,0,0,4.1,0,0,0.82,78.8,0,0.82,0,0,0,0,0,15.6,0,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,3.22,0,0,0.81,0,0,0.81,0,0,0,288.43,0,4.03,0,0,0,0,0.81,24.98,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,23.53,0.57,8.03,0,0,0,0,0,2.87,0.57,0,0,457.32,0,1.15,0,0,0,0,0,29.26,0,0,0.57
 60-70,0,0,0,0,0,0,0,108.95,0,13.74,0,0,0,0,0,2.94,0,0,0,796.01,0,1.96,0,0,0,0,0.98,43.19,0,0,0
 72-82,0,0,0,0,1.96,1.96,0,115.84,1.96,11.78,0.98,0,0,0,0,7.85,0,0,0.98,603.72,0,0,0.98,0,0.98,0.98,0.98,15.71,0,0.98,2.94
 84-94,0,0,0,0,4.25,0,0,110.45,0,8.5,1.06,0,0,0,0,6.37,0,2.12,0,318.61,0,0,0,0,0,0,0,9.56,0,1.06,0
 96-106,0,0,0,0,2.19,0,0,67.76,0,12.02,0,0,0,0,0,1.09,0,1.09,0,199.99,0,1.09,0,0,0,2.19,0,2.19,0,0,1.09
108-118,0,0,0,0,3.06,0,0.77,35.23,0,7.66,0,0,0,0.77,0.77,0.77,0,0,0,220.6,0,2.3,0,0,0,0,0,1.53,0,1.53,0
120,0,0,0,0,3.92,0,0,31.36,0,5.88,0,0,0,0,0,5.88,0,0,0,213.62,0,1.96,0,0,0,0,0,0,0,0,0
