stage,axial,blastomeres,endoderm,epidermis,eye,hatching.gland,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.51,0,0,0,0,39.43,2.63,5.26,0,0,0
 10-12,0,0,3.15,0,3.15,6.29,0,62.94,0,9.44,3.15,3.15,0
 14-21,0,0,0,1,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 48-58,0,0,0,0,0.57,0,0,1.15,0,0,0,0,2.3
 60-70,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0
