stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,637.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,21.03,0,10.51,0,0,73.6,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,289.16,13.14,0,0,134.06,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,330.43,12.59,0,0,110.14,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,8,24,11,19,0,2,0,7,3,1,0,0,0,0,0,1,1,12,0,0,9,173,11,3,3,3,0,1,1,28,2,3,34,51,0,0,2,0,0
 24-34,0,0,0.82,0,7.39,0,18.06,0,2.46,0,4.1,0,0,0.82,1.64,4.1,0,1.64,0,0.82,18.88,0,0,8.21,257.75,2.46,3.28,2.46,0,0,6.57,0,0,1.64,2.46,6.57,58.28,0,0,4.1,0,0.82
 36-46,0,0,0,0,3.22,0.81,64.45,0.81,0,2.42,15.31,0,0,0,2.42,0,0.81,0,0,0,18.53,0,0.81,4.03,266.68,3.22,1.61,0.81,0,0,3.22,0,0,0,0,0,51.56,0,0,6.45,0,2.42
 48-58,0,0,0,0,1.72,2.3,105.01,4.02,0,4.02,39.02,0.57,0,1.72,0,1.72,0.57,0,0,0,41.89,0.57,2.3,7.46,228.37,1.72,2.3,2.87,0,0,3.44,0,0,0.57,2.3,0,47.05,0,0,5.74,0,4.02
 60-70,0,0,0,0,3.93,1.96,142.32,1.96,0.98,0.98,39.26,0.98,0,0.98,0.98,0.98,1.96,0.98,0,0,53,0,1.96,2.94,270.9,0.98,4.91,0.98,0,0,4.91,0,0,0.98,2.94,0,23.56,0.98,0.98,3.93,0,1.96
 72-82,0,0,0.98,0,1.96,11.78,213.02,0.98,0.98,5.89,51.05,3.93,0,0.98,3.93,0,1.96,0,1.96,0.98,83.44,3.93,1.96,6.87,340.64,0.98,2.94,2.94,0,0,12.76,0,0,0.98,0.98,0,6.87,0.98,2.94,10.8,1.96,0.98
 84-94,0,0,0,0,9.56,9.56,121.07,1.06,1.06,0,22.3,4.25,0,2.12,5.31,4.25,2.12,1.06,1.06,0,60.54,2.12,3.19,8.5,169.93,4.25,3.19,7.43,0,0,36.11,0,0,1.06,1.06,0,10.62,1.06,0,8.5,2.12,0
 96-106,0,0,1.09,0,10.93,16.39,109.28,2.19,1.09,1.09,40.44,5.46,0,1.09,4.37,5.46,0,0,0,0,42.62,0,3.28,5.46,171.58,0,6.56,6.56,0,1.09,29.51,0,0,1.09,3.28,0,3.28,0,0,12.02,4.37,1.09
108-118,0,0,0,0,8.43,6.89,80.43,3.06,2.3,0.77,19.15,4.6,0,1.53,3.06,1.53,6.89,2.3,0.77,0.77,30.64,0,2.3,6.89,186.89,0.77,3.83,3.83,0,0,20.68,0,0,4.6,5.36,0,4.6,2.3,2.3,3.06,3.06,1.53
120,0,0,0,0,11.76,7.84,50.95,0,3.92,0,15.68,9.8,0,0,9.8,3.92,0,0,1.96,0,19.6,0,1.96,1.96,170.5,3.92,3.92,5.88,0,1.96,33.32,0,0,5.88,0,0,0,0,0,3.92,0,0
