stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,487.58,4375.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.87,0,0,0,0,0,0,0,0,0
  5-6,1232.06,6472.89,36.78,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,263.57,49.04,0,0,128.72,0,367.78,0,0,0,0,0,0,0,0,0
  7-9,123.55,39.43,494.2,0,0,42.06,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,1345.9,110.41,0,0,925.31,0,78.86,13.14,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,81.82,0,0,6.29,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,273.79,12.59,0,0,110.14,0,37.76,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,51,0,6,0,0,0,0,0,0,2,0,0,18,0,25,4,0,12,58,1,0,0,2,0,564,0,3,0,7,20,0,0,0,1
 24-34,0,0,0.82,4.93,1.64,4.1,0.82,0,0.82,0,0,0.82,0,0,0,38.58,0.82,12.31,5.75,0,2.46,26.27,0.82,0,0,0,0,285.66,0,0,0,1.64,8.21,0,0.82,0,0.82
 36-46,0,0,0,3.22,0,0.81,0,0.81,0.81,0,0,0,0,0,0,9.67,0,5.64,0,0,0.81,16.11,0.81,0,0,0,0,73.32,0,0,0,0,6.45,0,0,0,0
 48-58,0,0,0,0.57,0,5.74,0,0,1.72,0.57,0.57,0,0,0,0.57,5.74,0,4.59,0.57,0.57,1.15,8.61,0,0,0,0,0,6.31,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,1.96,0,18.65,0,0,3.93,0,0,0,0,0,0,6.87,0,5.89,0,0,0,13.74,0.98,0,0,0,0,0.98,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,0,0,0,0,13.74,0,0,10.8,0.98,0.98,0,0,0,0,8.83,0,3.93,0,0,0,13.74,0,0.98,0,0,0.98,2.94,0,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,0,4.25,0,7.43,0,0,4.25,1.06,1.06,1.06,0,0,2.12,5.31,0,5.31,0,0,0,3.19,0,0,0,0,0,2.12,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,3.28,0,0,12.02,3.28,0,1.09,1.09,0,1.09,3.28,0,10.93,0,0,0,5.46,0,0,0,0,0,2.19,0,0,0,0,0,0,1.09,2.19,1.09
108-118,0,0,0,1.53,0,0.77,0,0,9.96,1.53,0,0,0.77,0,0,3.83,0,5.36,0.77,0,0,4.6,0,0.77,0.77,0,0,1.53,0,0,0,0,0,1.53,0.77,0,0
120,0,0,0,3.92,1.96,0,0,0,5.88,0,0,0,0,1.96,0,3.92,0,3.92,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
