stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,2.63,0,0,13.14,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,6.29,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,41,0,1,0,0,0,1,0,2,0,0,1,17,0,0,1,0
 24-34,0,0,0,0.82,3.28,0,4.93,0,0,0,0,0,0,0,0,0,0,0.82,3.28,0,0,2.46,45.97,0.82,0,0.82,0,0,3.28,0,0,0,0,0.82,9.85,0,0,1.64,1.64
 36-46,0,0,0,0,0,0,5.64,0,0,0,1.61,0,0,0,0,0,0,0,6.45,0,0,1.61,50.76,0,0,0,0,0.81,0,0,0,0,0,0,5.64,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,13.77,0,0.57,0,2.3,0,0.57,0.57,0,0,0,0,6.31,0,0,1.72,51.64,0.57,0.57,0,0,0,0.57,0,0,0,0,0,10.9,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,25.52,0,1.96,0.98,8.83,0,0,0,0.98,0.98,0,0,7.85,0,0,0.98,86.37,0,0.98,1.96,0,0,0.98,0,0,0,0,0,8.83,0,0,1.96,0.98
 72-82,0,0,0,0,0.98,0,24.54,0,0,0,4.91,0,0,0,0.98,0,0,0,18.65,0,0,0,42.21,0,0.98,0,0,0,0.98,0,0,0,0,0,2.94,0,0.98,1.96,0.98
 84-94,0,0,0,0,1.06,1.06,14.87,0,0,2.12,6.37,1.06,1.06,0,0,0,0,0,20.18,1.06,1.06,1.06,33.99,0,0,0,0,0,3.19,0,0,1.06,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,0,1.09,2.19,6.56,1.09,2.19,0,6.56,3.28,4.37,1.09,3.28,1.09,0,0,14.21,0,0,2.19,25.14,0,3.28,0,0,0,7.65,0,0,0,0,0,1.09,0,1.09,2.19,0
108-118,0,0,0,0,3.83,0,19.15,0.77,0,0.77,4.6,0.77,2.3,0,0.77,0,1.53,0.77,13.02,0,0,1.53,46.72,0,0,0,0,0.77,3.06,0,0,0,0.77,0,0.77,0,0,1.53,0
120,0,0,0,0,0,1.96,11.76,0,0,0,3.92,0,1.96,0,0,0,0,0,7.84,0,0,1.96,47.03,0,0,0,0,0,3.92,0,0,0,0,0,5.88,1.96,0,3.92,0
