stage,blastomeres,epidermis,eye,mesenchyme,muscle,neural,notochord,periderm,somites,spinal.cord
  3-4,79.07,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,13.14,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,6,0,0,1,1
 24-34,0,0,0.82,1.64,0,7.39,0.82,0,0,3.28
 36-46,0,0,1.61,0,0,3.22,0,0,0,0
 48-58,0,0,0,0.57,0,4.02,0,0.57,0,0.57
 60-70,0,0.98,0.98,1.96,0.98,1.96,0,0,0,2.94
 72-82,0,0,0.98,0.98,0,2.94,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,2.3,0,0,0,0
