stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,11,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,21,0,1,0,0,0,0,0,1,0,24,0,0,0,0,0
 24-34,0,0,12.31,0,3.28,0,0,4.1,0,2.46,0,2.46,0,0,0,0,0,0,0,0,0,8.21,0,0,3.28,195.36,3.28,5.75,0,0,0,0,0,0,0,81.26,0,0,0,0,0
 36-46,0,0,0.81,0,1.61,0,0,4.03,0,0.81,0,4.03,0,0,0,0,0,0.81,1.61,0,0.81,3.22,0,0,0.81,299.71,0.81,7.25,2.42,0,0,1.61,0,0.81,0,95.07,0,0,0,0,0
 48-58,0,0,2.87,0,0.57,0.57,0,12.62,0,0,0,13.77,0,0,0.57,0,0,0.57,0.57,1.15,0,20.66,0.57,0,4.59,333.38,0.57,5.74,0,0,0,0,0,0,0,57.95,0,0,0,0,0
 60-70,0,0,6.87,0,3.93,1.96,0,47.11,0,1.96,0,14.72,0.98,0,0,0,0.98,0.98,0,0,0,32.39,0,0,1.96,575.17,0.98,6.87,0,0,0.98,0.98,0,0,0,34.35,0.98,0,0,0,0
 72-82,0,0,13.74,0,11.78,15.71,0,118.78,0.98,0,1.96,29.45,7.85,0,0.98,0,0,1.96,1.96,0,0,75.59,1.96,0,1.96,890.37,0,6.87,2.94,0,0.98,0,0.98,0,0,50.06,4.91,0,0,0,1.96
 84-94,0,0,11.68,0,11.68,16.99,1.06,94.52,1.06,1.06,2.12,25.49,5.31,0,1.06,1.06,1.06,1.06,0,1.06,0,54.16,3.19,2.12,3.19,406.76,0,9.56,0,0,1.06,0,0,0,0,24.43,4.25,0,1.06,0,0
 96-106,0,0,7.65,0,19.67,21.86,2.19,68.85,3.28,0,1.09,28.41,9.84,0,0,1.09,1.09,0,1.09,0,0,38.25,0,1.09,3.28,421.84,1.09,14.21,6.56,1.09,2.19,4.37,0,0,1.09,19.67,6.56,1.09,0,0,1.09
108-118,0,0,7.66,0.77,9.96,16.09,2.3,47.49,1.53,0,0.77,9.19,5.36,0,0,0,2.3,0,0.77,0,0,34.47,0,0,1.53,592.86,1.53,6.89,3.06,0,0,1.53,0,0,0,9.19,3.06,0,1.53,0.77,0
120,0,0,5.88,0,23.52,5.88,0,37.24,0,0,0,9.8,0,0,0,0,1.96,0,0,5.88,0,31.36,0,1.96,0,866.23,3.92,7.84,0,0,0,1.96,0,0,0,17.64,1.96,0,0,0,0
