stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,29,0,0,0,0,4,6,0,2,11,0,0,0,0
 24-34,0,0,0.82,4.1,0,3.28,0.82,0,0,2.46,0,0,0,0.82,0,0,0,0,11.49,0,0,2.46,67.31,0,0,0.82,0,11.49,0,0,0.82,27.09,0,0,0,0
 36-46,0,0,0,1.61,0,9.67,0,0,0,3.22,0,0,0,0,0,0,0,0.81,4.83,0,0,1.61,128.91,0.81,0.81,0.81,0,12.89,0,0,0,33.03,0,0,0,0
 48-58,0,0,0,3.44,0,32.71,0,0.57,0,8.03,0,0,0,0,0.57,0,0,0,6.89,1.15,0,2.3,102.14,0.57,0,0.57,0,7.46,0,0,0,33.85,0,0,0,0
 60-70,0,0,0,2.94,0,42.21,0,0,0,5.89,0.98,0,0,0,0,0,0,0,5.89,0,0.98,0,78.52,0,0.98,0,0,12.76,0,0,0,8.83,0.98,0,0,0.98
 72-82,0,0,0,0.98,0,21.6,0,0,0.98,5.89,0.98,0,0.98,0,0,0.98,0,0,7.85,0,0,0.98,32.39,0,0,0,0,9.82,0,0,0,14.72,0,0,0.98,0
 84-94,0,0,0,6.37,0,22.3,0,0,0,1.06,0,1.06,1.06,0,0,1.06,0,0,4.25,0,0,0,28.68,0,0,0,0,16.99,0,0,0,3.19,0,1.06,0,0
 96-106,0,0,0,1.09,0,18.58,0,0,0,3.28,3.28,0,0,0,0,1.09,0,1.09,5.46,1.09,0,0,22.95,1.09,0,0,0,13.11,0,0,0,1.09,1.09,0,0,0
108-118,0,0,0,6.13,0,8.43,0,1.53,0,1.53,0.77,0,0,0,0,0,0,0,2.3,0,0,0.77,12.26,0,0,0,0,7.66,0,0.77,0,0.77,0.77,0,0,0
120,0,0,0,5.88,0,7.84,0,0,0,1.96,0,0,0,0,0,1.96,1.96,1.96,5.88,0,0,0,25.48,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0
