stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,5.26,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,73.6,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,22.03,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,45,6,2,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,10,18,7,0,2,1,0,45,0,5,0,0,5,8,0,0,2,0,0
 24-34,0,0,0,2.46,77.98,1.64,32.83,0,7.39,0.82,1.64,0,0,0.82,0.82,1.64,0.82,0,0,28.73,1.64,0,11.49,39.4,21.34,2.46,5.75,0,0,320.13,0,0,5.75,0,1.64,4.93,0,0,19.7,0,0
 36-46,0,0,0,0,111.18,0,26.59,0.81,18.53,0,0.81,0,0,0,0,0.81,0.81,1.61,0,21.75,9.67,0.81,8.86,61.23,19.34,0.81,2.42,0,0,397.19,0.81,0,3.22,0.81,0,5.64,0,0,10.47,0,0.81
 48-58,0,0,0,0,113.61,0,32.71,0.57,36.15,1.15,2.3,0,1.15,0.57,0,0.57,1.15,0,0.57,24.67,3.44,0,9.18,33.28,12.05,0.57,1.72,0,0,261.66,0,0,1.72,0,0,3.44,0,0,8.03,0,0
 60-70,0,0,0,0,218.88,1.96,45.15,0,52.02,1.96,2.94,0,0.98,4.91,0,6.87,2.94,0,0,38.28,13.74,1.96,5.89,22.58,16.69,0,1.96,0,0,295.44,0,0,0.98,0.98,0,0.98,0,0.98,10.8,0,0
 72-82,0,0,0,0,225.78,0,93.26,0,56.94,2.94,7.85,0,2.94,3.93,0.98,2.94,9.82,0.98,0.98,81.48,18.65,0,8.83,49.08,12.76,1.96,0.98,0,0.98,272.9,0,0,0,0,0,1.96,0,0,17.67,0,0
 84-94,0,0,1.06,0,418.44,1.06,89.21,0,101.96,3.19,5.31,0,4.25,1.06,1.06,10.62,11.68,0,0,59.47,23.36,0,5.31,30.8,15.93,9.56,2.12,0,0,776.35,0,0,1.06,0,0,2.12,1.06,1.06,10.62,1.06,0
 96-106,1.09,0,0,0,398.89,2.19,126.77,0,71.04,2.19,19.67,5.46,0,3.28,3.28,7.65,18.58,2.19,0,59.01,22.95,0,0,38.25,14.21,8.74,8.74,0,1.09,602.16,0,0,1.09,0,0,1.09,2.19,0,18.58,0,0
108-118,0,0,0,0,428.94,0.77,124.09,0,107.23,6.13,13.02,2.3,0,0,3.06,12.26,21.45,1.53,0,67.4,16.85,0,3.06,38.3,21.45,7.66,5.36,0,0,523.15,0,0,0.77,2.3,0,0,3.83,0.77,10.72,1.53,0
120,0,0,0,0,356.68,1.96,164.62,0,96.03,3.92,25.48,3.92,0,3.92,1.96,3.92,11.76,0,0,74.47,19.6,0,3.92,45.08,35.28,15.68,11.76,0,0,466.43,0,0,0,0,0,0,1.96,0,7.84,0,0
