stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,12.26,0,0,0,0,0,0
  7-9,0,2.63,0,107.78,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,102.52,0,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,3.15,0,72.38,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.11,25.18,0,0,37.76,3.15,0,12.59,0,0,0,0
 14-21,0,0,2,0,2,1,1,0,0,52,0,0,0,0,0,0,0,5,0,0,1,28,1,3,6,0,1,1,51,2,155,0,0
 24-34,0,0,1.64,0,1.64,0,1.64,0,0,57.46,0,0,0,0,0,0,0,3.28,0,0,0,42.68,0.82,20.52,2.46,0,0,0,20.52,4.1,116.56,0,0
 36-46,0,0,0,0,1.61,0,1.61,0,0,48.34,0,0,0,0,0,0,0,0,0,0.81,0,48.34,0,22.56,0.81,0,0.81,0,15.31,0,87.01,0,0
 48-58,0,0,0,0,1.72,0,6.31,0.57,1.15,36.72,0,0,0,0,0,2.3,0,7.46,0.57,0,1.15,53.36,0,17.21,2.3,0,0,0,2.3,0,57.38,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,24.54,0,0,0,0,0,3.93,0,1.96,0,0,0,38.28,0,16.69,4.91,0,0,0,0,0,33.37,0,0
 72-82,0,0,0.98,0,1.96,0,9.82,0,0,47.12,3.93,0,0.98,0,0,7.85,0,16.69,0,0.98,0.98,67.73,0,27.49,9.82,0,0,0,2.94,0,46.14,0,0
 84-94,0,0,2.12,2.12,1.06,0,7.43,0,0,32.92,1.06,0,0,0,0,4.25,0,1.06,0,0,0,25.49,1.06,24.43,20.18,0,0,0,5.31,0,22.3,0,0
 96-106,0,0,0,0,0,0,7.65,0,0,21.86,2.19,0,0,0,0,14.21,0,17.49,0,0,0,30.6,0,41.53,22.95,0,1.09,0,5.46,0,22.95,0,1.09
108-118,0,0,0,0.77,1.53,0,6.13,0,0,23.74,1.53,0,0,1.53,1.53,3.83,0.77,7.66,0,0,0,33.7,0,20.68,11.49,0,0,0,3.83,0,16.85,0.77,0
120,0,0,0,0,0,0,7.84,0,0,11.76,0,0,0,0,0,9.8,0,9.8,0,0,1.96,23.52,0,7.84,3.92,0,0,0,3.92,0,15.68,0,0
