stage,epidermis,erythrocytes,eye,fin_mesenchyme,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle
 14-21,1,0,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,2.46,0,0.82,0
 36-46,0,0.81,0,0,0,0,0.81,0.81,0.81,0,0,2.42,0
 48-58,0,0,0.57,0.57,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0.98,0,0.98,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,2.19,0,0,0,1.09,0,0
108-118,0,0,0.77,0,0,0,2.3,0,0.77,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0
