stage,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,3
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,7.39,0,0.82,0,0,0,0.82,3.28
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0,2.42,0,0,0,0.81,0,0,0.81
 48-58,0,0,0,2.87,0,0,0,0,0,0.57,0.57,2.87,0,0,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0.98,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0
 84-94,0,0,1.06,2.12,0,0,0,1.06,0,1.06,0,1.06,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.3,0,0.77,0.77,2.3,0,0.77,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,0,1.96,0,0,0,0,5.88,0,0,0,0,0,0,1.96
