stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,6.29,0,0,0
 14-21,0,1,2,0,0,2,0,0,0,0,1,0,5,0,0,0,0,2,0,0,2,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,0,12.31,0,0.82,0,0,0,0,0.82,6.57,0
 36-46,0,0,0,1.61,0,0.81,0,0.81,0,0,3.22,0.81,37.87,0,1.61,0,0,0,0,0,4.83,0
 48-58,0,0,0,3.44,0,3.44,0,0,0,0,3.44,0.57,22.95,0,0,0,0.57,0,0,0,4.59,0
 60-70,0,0,0,8.83,0,3.93,0,0,0.98,0,6.87,1.96,29.45,0,0,0,0,0,0,0,4.91,0
 72-82,0,0,0,0.98,0.98,2.94,0,0,0,0,5.89,0.98,12.76,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,2.12,0,0,1.06,0,1.06,0,2.12,0,10.62,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,3.28,0,1.09,0,0,0,1.09,2.19,0,5.46,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,1.53,0,1.53,0,0,0,0,2.3,0,9.19,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0
