stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,21.03,0,0,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,6,1,0,0,0,1,1,0
 24-34,0,0,0.82,0,0.82,0,0,0,0.82,0.82,3.28,0,0.82,0,0.82,0,3.28,0
 36-46,0,0,2.42,0,1.61,0,0,0,0,0,4.03,0,0,0,0,0,0,0
 48-58,0,0,2.87,0,0.57,0,0,0.57,1.15,0,6.89,0,0,0,0,0,0.57,0
 60-70,0,0,0.98,0,0,0,0,0,1.96,0,2.94,0,0,0,0,0,0.98,0
 72-82,0,0,1.96,0.98,0,0,0,0,3.93,0,2.94,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,3.28,0,1.09,0,0,0,1.09,0,0,3.28
108-118,0,0.77,0.77,0,0,0.77,0.77,0,1.53,0,3.06,0,0,0,0,0,0,0.77
120,0,0,1.96,0,0,0,0,0,3.92,0,3.92,0,0,0,0,0,0,0
