stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0,2.46,0,0,0,22.98,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,17.72,0,22.56,0,0,0,0,0,0,0,0,8.86,0,0,0,273.12,0,0,0,0,0.81,0,0,0,20.95,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,29.26,0,72.3,0,0,0,0,0,0,0,0,10.9,0,0,1.72,390.19,0,1.15,1.15,0,0,0,0,0,52.79,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,17.67,0.98,64.78,0,0,0,0,0,0,0,0,12.76,0,0,0.98,312.12,0,0,0,0,0,0,0,0,41.22,0,0,0,0,0.98
 72-82,0,0,0,3.93,0,0,26.5,0,79.51,0,0,0,0,0,0,0,0,48.1,0,0,0,291.55,0.98,0.98,0.98,0,0,0,0,0,9.82,0,1.96,0,0.98,0
 84-94,0,0,0,4.25,0,0,36.11,0,48.85,1.06,0,0,2.12,1.06,1.06,1.06,0,28.68,0,3.19,2.12,213.47,0,0,2.12,0,0,0,0,0,14.87,1.06,1.06,0,0,0
 96-106,0,1.09,0,0,0,1.09,25.14,0,37.16,0,0,1.09,0,0,0,0,0,46.99,1.09,1.09,0,155.18,0,0,4.37,0,1.09,0,0,0,2.19,1.09,0,1.09,3.28,0
108-118,0,0,0,4.6,1.53,1.53,18.38,0,44.43,0.77,0,0,0,0,0,0,0.77,26.04,0,0.77,3.06,200.68,0,3.06,2.3,0,0,0,0,0,0.77,0,0,0.77,0.77,0.77
120,0,0,0,5.88,5.88,0,29.4,0,35.28,0,0,0,0,0,0,0,0,23.52,0,1.96,0,197.94,0,1.96,1.96,0,0,0,0,0,0,0,1.96,3.92,0,0
